"Freq [GHz]","dB(S(1,1)) []"
1.55,-6.31904818747179
1.550005,-6.31968002954211
1.55001,-6.32031113013504
1.550015,-6.32094148880039
1.55002,-6.32157110508849
1.550025,-6.32219997855045
1.55003,-6.322828108738
1.550035,-6.32345549520345
1.55004,-6.32408213749989
1.550045,-6.32470803518093
1.55005,-6.32533318780098
1.550055,-6.32595759491504
1.55006,-6.32658125607873
1.550065,-6.32720417084841
1.55007,-6.32782633878112
1.550075,-6.32844775943445
1.55008,-6.32906843236679
1.550085,-6.32968835713708
1.55009,-6.33030753330505
1.550095,-6.33092596043104
1.5501,-6.331543638076
1.550105,-6.3321605658017
1.55011,-6.33277674317044
1.550115,-6.3333921697453
1.55012,-6.33400684509
1.550125,-6.3346207687689
1.55013,-6.33523394034712
1.550135,-6.33584635939043
1.55014,-6.33645802546522
1.550145,-6.33706893813868
1.55015,-6.33767909697859
1.550155,-6.33828850155342
1.55016,-6.33889715143245
1.550165,-6.33950504618548
1.55017,-6.34011218538313
1.550175,-6.34071856859662
1.55018,-6.34132419539794
1.550185,-6.34192906535974
1.55019,-6.34253317805535
1.550195,-6.34313653305881
1.5502,-6.34373912994491
1.550205,-6.34434096828903
1.55021,-6.34494204766737
1.550215,-6.34554236765672
1.55022,-6.34614192783468
1.550225,-6.3467407277795
1.55023,-6.34733876707011
1.550235,-6.34793604528622
1.55024,-6.34853256200816
1.550245,-6.34912831681705
1.55025,-6.34972330929471
1.550255,-6.3503175390236
1.55026,-6.35091100558699
1.550265,-6.35150370856881
1.55027,-6.35209564755369
1.550275,-6.35268682212704
1.55028,-6.35327723187494
1.550285,-6.3538668763842
1.55029,-6.35445575524238
1.550295,-6.3550438680377
1.5503,-6.35563121435919
1.550305,-6.3562177937965
1.55031,-6.3568036059401
1.550315,-6.35738865038116
1.55032,-6.35797292671154
1.550325,-6.35855643452387
1.55033,-6.35913917341155
1.550335,-6.35972114296859
1.55034,-6.36030234278987
1.550345,-6.36088277247089
1.55035,-6.36146243160798
1.550355,-6.36204131979817
1.55036,-6.3626194366392
1.550365,-6.3631967817296
1.55037,-6.3637733546686
1.550375,-6.3643491550562
1.55038,-6.36492418249316
1.550385,-6.36549843658092
1.55039,-6.36607191692171
1.550395,-6.36664462311855
1.5504,-6.36721655477512
1.550405,-6.36778771149591
1.55041,-6.36835809288613
1.550415,-6.36892769855177
1.55042,-6.36949652809958
1.550425,-6.37006458113699
1.55043,-6.37063185727231
1.550435,-6.37119835611448
1.55044,-6.37176407727329
1.550445,-6.37232902035926
1.55045,-6.37289318498365
1.550455,-6.3734565707585
1.55046,-6.37401917729666
1.550465,-6.37458100421164
1.55047,-6.37514205111783
1.550475,-6.37570231763027
1.55048,-6.37626180336486
1.550485,-6.37682050793828
1.55049,-6.3773784309679
1.550495,-6.37793557207191
1.5505,-6.37849193086924
1.550505,-6.37904750697966
1.55051,-6.37960230002368
1.550515,-6.38015630962255
1.55052,-6.38070953539834
1.550525,-6.38126197697392
1.55053,-6.38181363397287
1.550535,-6.38236450601964
1.55054,-6.38291459273935
1.550545,-6.38346389375803
1.55055,-6.3840124087024
1.550555,-6.38456013720001
1.55056,-6.3851070788792
1.550565,-6.38565323336908
1.55057,-6.38619860029954
1.550575,-6.3867431793013
1.55058,-6.38728697000582
1.550585,-6.38782997204542
1.55059,-6.38837218505318
1.550595,-6.38891360866294
1.5506,-6.38945424250941
1.550605,-6.389994086228
1.55061,-6.39053313945503
1.550615,-6.39107140182759
1.55062,-6.39160887298349
1.550625,-6.39214555256145
1.55063,-6.3926814402009
1.550635,-6.39321653554217
1.55064,-6.39375083822635
