"Freq [GHz]","dB(S(1,1)) []"
1.55,-5.93141218114548
1.550005,-5.93169923036245
1.55001,-5.93198551667153
1.550015,-5.93227103986607
1.55002,-5.93255579974012
1.550025,-5.93283979608847
1.55003,-5.93312302870659
1.550035,-5.93340549739061
1.55004,-5.93368720193745
1.550045,-5.93396814214465
1.55005,-5.93424831781049
1.550055,-5.934527728734
1.55006,-5.93480637471481
1.550065,-5.93508425555336
1.55007,-5.93536137105073
1.550075,-5.93563772100872
1.55008,-5.93591330522989
1.550085,-5.93618812351741
1.55009,-5.93646217567524
1.550095,-5.93673546150804
1.5501,-5.93700798082111
1.550105,-5.93727973342057
1.55011,-5.93755071911313
1.550115,-5.93782093770631
1.55012,-5.93809038900832
1.550125,-5.93835907282803
1.55013,-5.93862698897508
1.550135,-5.9388941372598
1.55014,-5.93916051749324
1.550145,-5.93942612948715
1.55015,-5.93969097305402
1.550155,-5.93995504800702
1.55016,-5.94021835416009
1.550165,-5.94048089132782
1.55017,-5.94074265932558
1.550175,-5.9410036579694
1.55018,-5.94126388707608
1.550185,-5.9415233464631
1.55019,-5.94178203594867
1.550195,-5.94203995535173
1.5502,-5.94229710449195
1.550205,-5.94255348318967
1.55021,-5.94280909126601
1.550215,-5.94306392854277
1.55022,-5.94331799484249
1.550225,-5.94357128998846
1.55023,-5.94382381380461
1.550235,-5.94407556611568
1.55024,-5.94432654674709
1.550245,-5.94457675552502
1.55025,-5.94482619227632
1.550255,-5.9450748568286
1.55026,-5.9453227490102
1.550265,-5.94556986865018
1.55027,-5.94581621557832
1.550275,-5.94606178962513
1.55028,-5.94630659062184
1.550285,-5.94655061840044
1.55029,-5.94679387279362
1.550295,-5.94703635363479
1.5503,-5.94727806075814
1.550305,-5.94751899399851
1.55031,-5.94775915319155
1.550315,-5.94799853817361
1.55032,-5.94823714878174
1.550325,-5.94847498485378
1.55033,-5.94871204622826
1.550335,-5.94894833274447
1.55034,-5.94918384424242
1.550345,-5.94941858056281
1.55035,-5.94965254154718
1.550355,-5.94988572703772
1.55036,-5.95011813687736
1.550365,-5.95034977090982
1.55037,-5.95058062897949
1.550375,-5.95081071093153
1.55038,-5.95104001661185
1.550385,-5.95126854586708
1.55039,-5.95149629854457
1.550395,-5.95172327449245
1.5504,-5.95194947355955
1.550405,-5.95217489559546
1.55041,-5.95239954045051
1.550415,-5.95262340797575
1.55042,-5.95284649802302
1.550425,-5.95306881044482
1.55043,-5.95329034509448
1.550435,-5.95351110182601
1.55044,-5.95373108049417
1.550445,-5.9539502809545
1.55045,-5.95416870306325
1.550455,-5.9543863466774
1.55046,-5.95460321165473
1.550465,-5.95481929785369
1.55047,-5.95503460513355
1.550475,-5.95524913335426
1.55048,-5.95546288237656
1.550485,-5.95567585206192
1.55049,-5.95588804227255
1.550495,-5.95609945287142
1.5505,-5.95631008372222
1.550505,-5.95651993468943
1.55051,-5.95672900563824
1.550515,-5.95693729643462
1.55052,-5.95714480694527
1.550525,-5.95735153703762
1.55053,-5.95755748657989
1.550535,-5.95776265544103
1.55054,-5.95796704349073
1.550545,-5.95817065059945
1.55055,-5.95837347663839
1.550555,-5.9585755214795
1.55056,-5.9587767849955
1.550565,-5.95897726705982
1.55057,-5.95917696754669
1.550575,-5.95937588633107
1.55058,-5.95957402328866
1.550585,-5.95977137829595
1.55059,-5.95996795123016
1.550595,-5.96016374196927
1.5506,-5.96035875039199
1.550605,-5.96055297637783
1.55061,-5.96074641980701
1.550615,-5.96093908056056
1.55062,-5.96113095852021
1.550625,-5.96132205356847
1.55063,-5.96151236558863
1.550635,-5.96170189446468
1.55064,-5.96189064008144
1.550645,-5.96207860232442
1.55065,-5.96226578107992
1.550655,-5.96245217623503
1.55066,-5.96263778767753
1.550665,-5.962822615296
1.55067,-5.96300665897977
1.550675,-5.96318991861897
1.55068,-5.9633723941044
1.550685,-5.96355408532772
1.55069,-5.96373499218128
1.550695,-5.96391511455821
1.5507,-5.96409445235244
1.550705,-5.9642730054586
1.55071,-5.96445077377212
1.550715,-5.96462775718918
1.55072,-5.96480395560674
1.550725,-5.96497936892251
1.55073,-5.96515399703495
1.550735,-5.9653278398433
1.55074,-5.96550089724756
1.550745,-5.96567316914851
1.55075,-5.96584465544765
1.550755,-5.96601535604731
1.55076,-5.96618527085053
1.550765,-5.96635439976114
1.55077,-5.96652274268373
1.550775,-5.96669029952364
1.55078,-5.96685707018702
1.550785,-5.96702305458076
1.55079,-5.9671882526125
1.550795,-5.96735266419067
1.5508,-5.96751628922447
1.550805,-5.96767912762385
1.55081,-5.96784117929954
1.550815,-5.96800244416304
1.55082,-5.96816292212661
1.550825,-5.96832261310328
1.55083,-5.96848151700687
1.550835,-5.96863963375194
