"Freq [GHz]","dB(S(1,1)) []","dB(S(2,2)) []","dB(S(3,3)) []","dB(S(4,4)) []"
1,-0.0470803271983079,-0.0470460217695764,-0.0468992409372494,-0.0469755656555741
1.00033333333333,-0.0471067673682117,-0.0470724942612955,-0.0469257289351281,-0.047001972224284
1.00066666666667,-0.0471332743350066,-0.0470990335902115,-0.0469522839261501,-0.0470284455097407
1.001,-0.0471598482418279,-0.0471256398997356,-0.0469789060542971,-0.0470549856549463
1.00133333333333,-0.0471864892322506,-0.0471523133337354,-0.0470055954639999,-0.0470815928033649
1.00166666666667,-0.0472131974503076,-0.0471790540365292,-0.0470323523001544,-0.0471082670989069
1.002,-0.0472399730404812,-0.0472058621528937,-0.0470591767081029,-0.047135008685935
1.00233333333333,-0.0472668161477098,-0.0472327378280549,-0.0470860688336555,-0.047161817709265
1.00266666666667,-0.047293726917388,-0.0472596812077,-0.0471130288230754,-0.0471886943141739
1.003,-0.0473207054953706,-0.0472866924379778,-0.047140056823089,-0.0472156386463948
1.00333333333333,-0.0473477520279721,-0.0473137716654926,-0.0471671529808885,-0.0472426508521139
1.00366666666667,-0.0473748666619597,-0.0473409190373157,-0.0471943174441243,-0.0472697310779873
1.004,-0.0474020495445751,-0.0473681347009742,-0.0472215503609204,-0.0472968794711236
1.00433333333333,-0.0474293008235133,-0.0473954188044724,-0.0472488518798611,-0.0473240961791078
1.00466666666667,-0.0474566206469422,-0.0474227714962684,-0.0472762221500072,-0.0473513813499753
1.005,-0.0474840091634984,-0.0474501929253012,-0.0473036613208866,-0.0473787351322403
1.00533333333333,-0.0475114665222761,-0.0474776832409659,-0.047331169542498,-0.0474061576748779
1.00566666666667,-0.0475389928728545,-0.0475052425931433,-0.0473587469653168,-0.0474336491273419
1.006,-0.0475665883652743,-0.0475328711321818,-0.0473863937402941,-0.0474612096395494
1.00633333333333,-0.0475942531500518,-0.0475605690089,-0.047414110018858,-0.047488839361893
1.00666666666667,-0.0476219873781811,-0.0475883363745962,-0.047441895952915,-0.0475165384452412
1.007,-0.0476497912011351,-0.047616173381054,-0.0474697516948495,-0.047544307040942
1.00733333333333,-0.0476776647708584,-0.0476440801805214,-0.0474976773975362,-0.0475721453008185
1.00766666666667,-0.0477056082397812,-0.0476720569257396,-0.0475256732143276,-0.0476000533771714
1.008,-0.0477336217608098,-0.0477001037699333,-0.0475537392990571,-0.047628031422785
1.00833333333333,-0.0477617054873445,-0.0477282208668024,-0.0475818758060571,-0.0476560795909283
1.00866666666667,-0.0477898595732607,-0.0477564083705419,-0.0476100828901398,-0.0476841980353527
1.009,-0.0478180841729213,-0.0477846664358295,-0.0476383607066098,-0.0477123869102993
1.00933333333333,-0.0478463794411826,-0.0478129952178373,-0.0476667094112691,-0.0477406463704921
1.00966666666667,-0.0478747455333903,-0.0478413948722261,-0.0476951291604052,-0.0477689765711509
1.01,-0.0479031826053751,-0.047869865555146,-0.0477236201108041,-0.0477973776679806
1.01033333333333,-0.0479316908134668,-0.0478984074232476,-0.0477521824197557,-0.0478258498171843
1.01066666666667,-0.0479602703144905,-0.0479270206336739,-0.0477808162450389,-0.0478543931754556
1.011,-0.0479889212657688,-0.0479557053440721,-0.0478095217449393,-0.0478830078999893
1.01133333333333,-0.048017643825117,-0.0479844617125799,-0.047838299078244,-0.0479116941484757
1.01166666666667,-0.0480464381508563,-0.0480132898978414,-0.0478671484042443,-0.0479404520791016
1.012,-0.0480753044018073,-0.0480421900590066,-0.0478960698827376,-0.0479692818505665
1.01233333333333,-0.0481042427372969,-0.0480711623557279,-0.0479250636740276,-0.047998183622061
1.01266666666667,-0.0481332533171552,-0.0481002069481593,-0.0479541299389253,-0.0480271575532842
1.013,-0.0481623363017178,-0.0481293239969742,-0.0479832688387612,-0.0480562038044478
1.01333333333333,-0.0481914918518319,-0.0481585136633468,-0.0480124805353713,-0.0480853225362646
1.01366666666667,-0.0482207201288543,-0.048187776108969,-0.0480417651911057,-0.0481145139099633
1.014,-0.0482500212946568,-0.0482171114960429,-0.0480711229688363,-0.0481437780872801
1.01433333333333,-0.0482793955116181,-0.0482465199872859,-0.0481005540319529,-0.0481731152304717
1.01466666666667,-0.0483088429426431,-0.0482760017459349,-0.0481300585443614,-0.0482025255023035
1.015,-0.0483383637511468,-0.0483055569357491,-0.0481596366704886,-0.0482320090660584
1.01533333333333,-0.0483679581010677,-0.0483351857209977,-0.0481892885752881,-0.0482615660855446
1.01566666666667,-0.048397626156861,-0.0483648882664865,-0.0482190144242481,-0.0482911967250908
1.016,-0.0484273680835121,-0.0483946647375363,-0.048248814383363,-0.0483209011495381
1.01633333333333,-0.0484571840465237,-0.0484245152999951,-0.0482786886191758,-0.0483506795242662
1.01666666666667,-0.0484870742119321,-0.0484544401202441,-0.0483086372987511,-0.0483805320151716
1.017,-0.0485170387463014,-0.0484844393651906,-0.0483386605896903,-0.0484104587886857
1.01733333333333,-0.0485470778167189,-0.0485145132022746,-0.0483687586601256,-0.0484404600117656
1.01766666666667,-0.0485771915908101,-0.04854466179947,-0.0483989316787276,-0.0484705358519022
1.018,-0.0486073802367356,-0.048574885325284,-0.0484291798147066,-0.0485006864771202
1.01833333333333,-0.0486376439231903,-0.0486051839487695,-0.0484595032378125,-0.0485309120559757
1.01866666666667,-0.0486679828194081,-0.0486355578395045,-0.0484899021183414,-0.0485612127575726
1.019,-0.0486983970951593,-0.0486660071676218,-0.0485203766271245,-0.0485915887515463
1.01933333333333,-0.0487288869207617,-0.0486965321037943,-0.0485509269355469,-0.0486220402080721
1.01966666666667,-0.0487594524670699,-0.0487271328192322,-0.0485815532155394,-0.0486525672978772
1.02,-0.0487900939054889,-0.0487578094856993,-0.0486122556395822,-0.0486831701922249
1.02033333333333,-0.0488208114079709,-0.0487885622755124,-0.0486430343807076,-0.0487138490629326
1.02066666666667,-0.048851605147015,-0.0488193913615293,-0.0486738896125025,-0.0487446040823585
1.021,-0.0488824752956752,-0.0488502969171659,-0.048704821509107,-0.0487754354234235
1.02133333333333,-0.0489134220275524,-0.0488812791163893,-0.0487358302452252,-0.0488063432595946
1.02166666666667,-0.0489444455168084,-0.0489123381337319,-0.0487669159961149,-0.0488373277648868
1.022,-0.0489755459381595,-0.0489434741442775,-0.0487980789375956,-0.0488683891138853
1.02233333333333,-0.0490067234668822,-0.0489746873236673,-0.0488293192460532,-0.0488995274817267
1.02266666666667,-0.0490379782788142,-0.0490059778481142,-0.0488606370984397,-0.0489307430441059
1.023,-0.0490693105503555,-0.0490373458943916,-0.0488920326722731,-0.0489620359772886
1.02333333333333,-0.049100720458473,-0.0490687916398339,-0.0489235061456374,-0.0489934064580962
1.02366666666667,-0.0491322081806941,-0.0491003152623518,-0.0489550576971996,-0.0490248546639256
1.024,-0.0491637738951239,-0.0491319169404246,-0.048986687506182,-0.0490563807727344
1.02433333333333,-0.0491954177804319,-0.0491635968531011,-0.0490183957524061,-0.0490879849630537
1.02466666666667,-0.0492271400158634,-0.0491953551800097,-0.0490501826162529,-0.049119667413991
1.025,-0.0492589407812407,-0.0492271921013518,-0.0490820482786853,-0.0491514283052264
1.02533333333333,-0.049290820256962,-0.049259107797904,-0.0491139929212584,-0.0491832678170104
1.02566666666667,-0.0493227786240023,-0.0492911024510344,-0.0491460167260979,-0.0492151861301838
1.026,-0.0493548160639132,-0.0493231762426841,-0.0491781198759314,-0.0492471834261589
