"Freq [GHz]","dB(S(1,2)) []","dB(S(1,3)) []","dB(S(1,4)) []","dB(S(2,3)) []","dB(S(2,4)) []","dB(S(3,4)) []"
1,-82.2844424243249,-79.7428210632059,-82.2826076495983,-82.2317218232239,-79.7130006615316,-82.2628787915484
1.00033333333333,-82.2775931957342,-79.7326214835312,-82.2753778961579,-82.2245818464918,-79.7027807202311,-82.2557396752493
1.00066666666667,-82.2707328949235,-79.7224131871958,-82.2681369714717,-82.2174309811491,-79.692552133048,-82.2485893648768
1.001,-82.2638614969568,-79.7121961679685,-82.260884852147,-82.2102692037398,-79.6823148937568,-82.241427836692
1.00133333333333,-82.2569789768676,-79.7019704196128,-82.253621514767,-82.2030964907808,-79.6720689961265,-82.2342550669313
1.00166666666667,-82.2500853096577,-79.691735935887,-82.2463469358916,-82.1959128187629,-79.6618144339211,-82.2270710318065
1.002,-82.2431804702988,-79.6814927105438,-82.2390610920571,-82.1887181641503,-79.6515512008989,-82.219875707505
1.00233333333333,-82.2362644337312,-79.671240737331,-82.2317639597767,-82.181512503381,-79.641279290813,-82.2126690701899
1.00266666666667,-82.2293371748651,-79.6609800099906,-82.2244555155404,-82.1742958128669,-79.630998697411,-82.2054510960002
1.003,-82.2223986685798,-79.6507105222592,-82.2171357358148,-82.167068068994,-79.6207094144349,-82.1982217610508
1.00333333333333,-82.2154488897245,-79.6404322678682,-82.2098045970439,-82.1598292481221,-79.6104114356215,-82.1909810414325
1.00366666666667,-82.208487813118,-79.6301452405434,-82.202462075649,-82.1525793265853,-79.6001047547018,-82.1837289132127
1.004,-82.2015154135492,-79.6198494340049,-82.1951081480285,-82.1453182806923,-79.5897893654012,-82.176465352435
1.00433333333333,-82.1945316657769,-79.6095448419676,-82.1877427905584,-82.138046086726,-79.5794652614398,-82.1691903351195
1.00466666666667,-82.18753654453,-79.5992314581404,-82.1803659795923,-82.1307627209439,-79.5691324365316,-82.1619038372629
1.005,-82.1805300245078,-79.5889092762269,-82.1729776914614,-82.1234681595783,-79.5587908843855,-82.1546058348385
1.00533333333333,-82.1735120803801,-79.578578289925,-82.1655779024751,-82.1161623788361,-79.5484405987042,-82.1472963037971
1.00566666666667,-82.1664826867871,-79.5682384929268,-82.1581665889204,-82.1088453548994,-79.538081573185,-82.1399752200659
1.006,-82.1594418183398,-79.5578898789187,-82.1507437270628,-82.1015170639252,-79.5277138015193,-82.1326425595496
