"Freq [GHz]","dB(S(1,2)) []","dB(S(1,3)) []","dB(S(1,4)) []","dB(S(2,3)) []","dB(S(2,4)) []","dB(S(3,4)) []"
1,-82.1999047024127,-79.6391199104217,-82.1618132289638,-82.1993293734768,-79.6296981254761,-82.173190564753
1.00033333333333,-82.192817337108,-79.6289638662628,-82.154878189811,-82.1922979650147,-79.6195303249695,-82.1664162625763
1.00066666666667,-82.1857183782908,-79.6187988953978,-82.1479318825019,-82.1852551567956,-79.6093536463305,-82.1596308879975
1.001,-82.1786078025958,-79.6086249924896,-82.1409742835482,-82.1782009258062,-79.5991680841712,-82.152834417189
1.00133333333333,-82.1714855866334,-79.5984421521952,-82.1340053694338,-82.1711352490083,-79.5889736330968,-82.1460268262921
1.00166666666667,-82.1643517069902,-79.5882503691648,-82.1270251166155,-82.1640581033396,-79.5787702877064,-82.1392080914176
1.002,-82.1572061402293,-79.5780496380425,-82.1200335015226,-82.1569694657131,-79.5685580425927,-82.1323781886454
1.00233333333333,-82.1500488628898,-79.5678399534659,-82.113030500557,-82.1498693130176,-79.5583368923416,-82.1255370940251
1.00266666666667,-82.1428798514878,-79.5576213100661,-82.1060160900937,-82.1427576221177,-79.5481068315327,-82.1186847835759
1.003,-82.1356990825157,-79.5473937024679,-82.0989902464806,-82.1356343698539,-79.5378678547389,-82.1118212332863
1.00333333333333,-82.128506532443,-79.5371571252894,-82.0919529460387,-82.1284995330431,-79.5276199565266,-82.1049464191152
1.00366666666667,-82.1213021777159,-79.5269115731422,-82.0849041650624,-82.1213530884779,-79.5173631314552,-82.098060316991
1.004,-82.1140859947577,-79.5166570406315,-82.077843879819,-82.1141950129276,-79.507097374078,-82.0911629028121
1.00433333333333,-82.1068579599692,-79.5063935223555,-82.0707720665499,-82.1070252831378,-79.4968226789411,-82.0842541524474
1.00466666666667,-82.0996180497283,-79.496121012906,-82.0636887014697,-82.0998438758309,-79.486539040584,-82.0773340417358
1.005,-82.0923662403905,-79.4858395068681,-82.0565937607667,-82.0926507677055,-79.4762464535394,-82.0704025464868
1.00533333333333,-82.0851025082888,-79.4755489988202,-82.0494872206032,-82.0854459354377,-79.4659449123334,-82.06345964248
1.00566666666667,-82.0778268297342,-79.4652494833337,-82.0423690571155,-82.07822935568,-79.4556344114847,-82.0565053054661
1.006,-82.0705391810154,-79.4549409549734,-82.0352392464137,-82.0710010050623,-79.4453149455057,-82.0495395111663
1.00633333333333,-82.0632395383994,-79.4446234082973,-82.0280977645825,-82.0637608601916,-79.4349865089015,-82.0425622352726
1.00666666666667,-82.0559278781311,-79.4342968378564,-82.0209445876807,-82.0565088976523,-79.4246490961703,-82.0355734534483
1.007,-82.0486041764341,-79.4239612381948,-82.0137796917416,-82.0492450940063,-79.4143027018033,-82.0285731413274
1.00733333333333,-82.0412684095103,-79.4136166038497,-82.0066030527732,-82.041969425793,-79.4039473202848,-82.0215612745154
1.00766666666667,-82.0339205535401,-79.4032629293512,-81.9994146467581,-82.0346818695298,-79.3935829460918,-82.0145378285892
1.008,-82.0265605846831,-79.3929002092226,-81.9922144496538,-82.0273824017116,-79.3832095736943,-82.0075027790969
1.00833333333333,-82.0191884790774,-79.38252843798,-81.9850024373929,-82.0200709988116,-79.3728271975551,-82.0004561015587
1.00866666666667,-82.0118042128404,-79.3721476101324,-81.977778585883,-82.0127476372813,-79.3624358121299,-81.993397771466
1.009,-82.0044077620688,-79.3617577201816,-81.970542871007,-82.00541229355,-79.3520354118671,-81.9863277642823
1.00933333333333,-81.9969991028386,-79.3513587626224,-81.9632952686231,-81.9980649440258,-79.3416259912079,-81.9792460554433
1.00966666666667,-81.9895782112052,-79.3409507319423,-81.9560357545652,-81.9907055650953,-79.3312075445861,-81.9721526203566
1.01,-81.9821450632039,-79.3305336226215,-81.9487643046428,-81.9833341331238,-79.3207800664281,-81.9650474344021
1.01033333333333,-81.9746996348498,-79.3201074291331,-81.941480894641,-81.9759506244554,-79.3103435511533,-81.9579304729321
1.01066666666667,-81.9672419021379,-79.3096721459426,-81.9341855003212,-81.9685550154132,-79.2998979931732,-81.9508017112715
1.011,-81.9597718410434,-79.2992277675084,-81.9268780974206,-81.9611472822994,-79.2894433868923,-81.9436611247178
1.01133333333333,-81.9522894275217,-79.2887742882813,-81.9195586616526,-81.9537274013956,-79.2789797267072,-81.9365086885412
1.01166666666667,-81.9447946375089,-79.2783117027049,-81.9122271687071,-81.9462953489626,-79.2685070070073,-81.9293443779852
1.012,-81.9372874469216,-79.2678400052151,-81.9048835942505,-81.938851101241,-79.2580252221743,-81.9221681682659
1.01233333333333,-81.929767831657,-79.2573591902405,-81.8975279139256,-81.9313946344509,-79.2475343665823,-81.914980034573
1.01266666666667,-81.9222357675935,-79.2468692522019,-81.8901601033523,-81.9239259247922,-79.2370344345978,-81.9077799520694
1.013,-81.9146912305904,-79.2363701855127,-81.8827801381272,-81.9164449484452,-79.2265254205795,-81.9005678958914
1.01333333333333,-81.9071341964883,-79.2258619845786,-81.875387993824,-81.9089516815698,-79.2160073188787,-81.893343841149
1.01366666666667,-81.8995646411092,-79.2153446437978,-81.8679836459936,-81.9014461003065,-79.2054801238386,-81.8861077629262
1.014,-81.8919825402568,-79.2048181575606,-81.8605670701644,-81.8939281807761,-79.1949438297948,-81.8788596362806
1.01433333333333,-81.8843878697165,-79.1942825202495,-81.8531382418422,-81.8863978990803,-79.184398431075,-81.8715994362441
1.01466666666667,-81.8767806052553,-79.1837377262395,-81.8456971365104,-81.878855231301,-79.1738439219992,-81.8643271378225
1.015,-81.8691607226226,-79.1731837698976,-81.8382437296302,-81.8713001535014,-79.1632802968791,-81.8570427159964
1.01533333333333,-81.86152819755,-79.1626206455829,-81.8307779966408,-81.8637326417256,-79.1527075500189,-81.8497461457206
1.01566666666667,-81.8538830057513,-79.1520483476468,-81.8232999129596,-81.856152671999,-79.1421256757147,-81.8424374019246
1.016,-81.8462251229231,-79.1414668704325,-81.8158094539821,-81.848560220328,-79.1315346682543,-81.8351164595127
