"Freq [GHz]","dB(S(1,2)) []","dB(S(1,3)) []","dB(S(1,4)) []","dB(S(2,3)) []","dB(S(2,4)) []","dB(S(3,4)) []"
1,-82.3058572357324,-79.9591115011575,-82.3449219476855,-82.2886839238791,-79.9177917433928,-82.2841822655461
1.00033333333333,-82.2988272526901,-79.9485619934741,-82.3379170398867,-82.2816544927154,-79.9072625245987,-82.2771834556264
1.00066666666667,-82.2917865150578,-79.9380051291119,-82.3309015410772,-82.2746143778419,-79.8967259934383,-82.270174174107
1.001,-82.2847350004296,-79.9274409009835,-82.3238754289598,-82.2675635571564,-79.8861821428848,-82.2631543990674
1.00133333333333,-82.2776726863743,-79.9168693019947,-82.3168386812112,-82.2605020085314,-79.8756309659048,-82.2561241085611
1.00166666666667,-82.2705995504352,-79.9062903250448,-82.3097912754819,-82.2534297098142,-79.8650724554581,-82.2490832806148
1.002,-82.2635155701305,-79.8957039630262,-82.3027331893963,-82.2463466388267,-79.8545066044981,-82.242031893229
1.00233333333333,-82.2564207229533,-79.8851102088244,-82.2956644005529,-82.2392527733658,-79.8439334059713,-82.234969924378
1.00266666666667,-82.2493149863716,-79.8745090553185,-82.2885848865243,-82.2321480912034,-79.8333528528176,-82.2278973520099
1.003,-82.2421983378286,-79.8639004953803,-82.2814946248575,-82.2250325700864,-79.8227649379699,-82.2208141540469
1.00333333333333,-82.2350707547426,-79.8532845218751,-82.2743935930736,-82.2179061877369,-79.8121696543547,-82.2137203083851
1.00366666666667,-82.2279322145074,-79.8426611276612,-82.2672817686684,-82.2107689218524,-79.8015669948914,-82.2066157928948
1.004,-82.220782694492,-79.8320303055901,-82.2601591291122,-82.2036207501057,-79.7909569524928,-82.1995005854207
1.00433333333333,-82.2136221720411,-79.8213920485063,-82.2530256518498,-82.196461650145,-79.7803395200647,-82.1923746637814
1.00466666666667,-82.206450624475,-79.8107463492474,-82.2458813143011,-82.1892915995944,-79.7697146905062,-82.1852380057706
1.005,-82.1992680290899,-79.800093200644,-82.2387260938606,-82.1821105760535,-79.7590824567093,-82.178090589156
1.00533333333333,-82.1920743631576,-79.7894325955197,-82.2315599678981,-82.1749185570977,-79.7484428115591,-82.1709323916802
1.00566666666667,-82.1848696039262,-79.7787645266911,-82.224382913758,-82.1677155202786,-79.7377957479341,-82.1637633910605
1.006,-82.1776537286198,-79.7680889869678,-82.2171949087605,-82.1605014431236,-79.7271412587054,-82.156583564989
1.00633333333333,-82.1704267144386,-79.7574059691523,-82.2099959302007,-82.1532763031362,-79.7164793367373,-82.1493928911328
1.00666666666667,-82.1631885385594,-79.7467154660399,-82.2027859553493,-82.1460400777965,-79.7058099748871,-82.142191347134
1.007,-82.1559391781353,-79.7360174704191,-82.1955649614526,-82.1387927445607,-79.6951331660051,-82.1349789106098
1.00733333333333,-82.148678610296,-79.7253119750709,-82.1883329257324,-82.1315342808616,-79.6844489029343,-82.1277555591529
1.00766666666667,-82.1414068121479,-79.7145989727693,-82.1810898253863,-82.1242646641086,-79.6737571785109,-82.1205212703311
1.008,-82.1341237607742,-79.7038784562811,-82.173835637588,-82.1169838716877,-79.6630579855638,-82.1132760216877
1.00833333333333,-82.1268294332353,-79.6931504183658,-82.166570339487,-82.109691880962,-79.6523513169148,-82.1060197907417
1.00866666666667,-82.1195238065684,-79.6824148517758,-82.1592939082089,-82.1023886692714,-79.6416371653786,-82.0987525549877
1.009,-82.1122068577878,-79.6716717492561,-82.1520063208556,-82.0950742139328,-79.6309155237627,-82.0914742918961
1.00933333333333,-82.1048785638855,-79.6609211035445,-82.1447075545054,-82.0877484922404,-79.6201863848671,-82.0841849789132
1.00966666666667,-82.0975389018305,-79.6501629073712,-82.1373975862129,-82.0804114814658,-79.6094497414849,-82.0768845934612
1.01,-82.0901878485698,-79.6393971534595,-82.1300763930095,-82.0730631588577,-79.5987055864018,-82.0695731129386
1.01033333333333,-82.0828253810278,-79.628623834525,-82.1227439519032,-82.0657035016427,-79.5879539123963,-82.06225051472
1.01066666666667,-82.0754514761067,-79.617842943276,-82.1154002398788,-82.0583324870248,-79.5771947122394,-82.0549167761565
1.011,-82.0680661106869,-79.6070544724133,-82.1080452338981,-82.0509500921861,-79.5664279786948,-82.0475718745753
1.01133333333333,-82.0606692616265,-79.5962584146304,-82.1006789108999,-82.0435562942862,-79.5556537045189,-82.0402157872805
1.01166666666667,-82.0532609057623,-79.585454762613,-82.0933012478004,-82.0361510704632,-79.5448718824606,-82.0328484915528
1.012,-82.0458410199089,-79.5746435090397,-82.0859122214927,-82.0287343978329,-79.5340825052615,-82.0254699646495
1.01233333333333,-82.0384095808596,-79.5638246465812,-82.0785118088479,-82.0213062534896,-79.5232855656556,-82.0180801838052
1.01266666666667,-82.0309665653865,-79.552998167901,-82.0710999867142,-82.0138666145061,-79.5124810563694,-82.010679126231
