"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,5.60822671721857
1.57542,0,-170,3.35948137917528
1.57542,0,-160,12.5477496282997
1.57542,0,-150,29.9732803787203
1.57542,0,-140,15.426007033007
1.57542,0,-130,17.6473708526145
1.57542,0,-120,28.3741414291717
1.57542,0,-110,19.9145418468585
1.57542,0,-100,17.6804807214352
1.57542,0,-90,16.301407850082
1.57542,0,-80,15.1778976432727
1.57542,0,-70,14.3453261303327
1.57542,0,-60,14.4092334183911
1.57542,0,-50,22.6233245899361
1.57542,0,-40,19.9684701774514
1.57542,0,-30,9.60307614827121
1.57542,0,-20,8.62148911985286
1.57542,0,-10,8.34438245942419
1.57542,0,0,8.22718719365171
1.57542,0,10,8.06072824546053
1.57542,0,20,7.73454724246478
1.57542,0,30,7.48697543274503
1.57542,0,40,50.490813524761
1.57542,0,50,13.4421852176733
1.57542,0,60,32.5910512071241
1.57542,0,70,22.8223130848345
1.57542,0,80,21.6786078122205
1.57542,0,90,21.7258110448674
1.57542,0,100,22.0107132163978
1.57542,0,110,22.5101583215777
1.57542,0,120,23.8693090943453
1.57542,0,130,30.6225322974478
1.57542,0,140,18.6293984288023
1.57542,0,150,6.18349945907732
1.57542,0,160,16.9617891253717
1.57542,0,170,9.38243997975124
1.57542,0,180,5.60822671721858
