"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,10.6612714383581
1.57542,0,-170,20.4827666643276
1.57542,0,-160,24.6054466226098
1.57542,0,-150,10.6705756109912
1.57542,0,-140,5.86483676897675
1.57542,0,-130,3.92833026660787
1.57542,0,-120,2.3415744128244
1.57542,0,-110,1.75805316057382
1.57542,0,-100,1.83646172914264
1.57542,0,-90,1.6695192523791
1.57542,0,-80,1.51473183140577
1.57542,0,-70,2.16012105792959
1.57542,0,-60,3.37778790090928
1.57542,0,-50,4.72426808034847
1.57542,0,-40,6.11927340363134
1.57542,0,-30,7.70338759273897
1.57542,0,-20,9.52372239423198
1.57542,0,-10,10.6753471232426
1.57542,0,0,9.39550362284569
1.57542,0,10,7.77002418363065
1.57542,0,20,8.1686117438757
1.57542,0,30,9.85145659034565
1.57542,0,40,12.3291627597316
1.57542,0,50,15.943897717678
1.57542,0,60,22.3770999142649
1.57542,0,70,46.2357035695133
1.57542,0,80,22.7166893881645
1.57542,0,90,18.9533050723033
1.57542,0,100,19.1527775325183
1.57542,0,110,23.7429468660007
1.57542,0,120,39.0411759595334
1.57542,0,130,18.7114701394335
1.57542,0,140,11.1256588645909
1.57542,0,150,7.91248486228919
1.57542,0,160,13.6503315138235
1.57542,0,170,48.1608009100107
1.57542,0,180,10.6612714383581
