"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,1.58988319728726
1.57542,0,-170,5.7151652526774
1.57542,0,-160,7.89340174380967
1.57542,0,-150,14.1453063124356
1.57542,0,-140,10.7150057304476
1.57542,0,-130,5.16521077280441
1.57542,0,-120,5.58113505776494
1.57542,0,-110,6.61855403284907
1.57542,0,-100,7.18587030606588
1.57542,0,-90,7.0328089166859
1.57542,0,-80,6.08538298499692
1.57542,0,-70,4.44182278959427
1.57542,0,-60,2.21835192453677
1.57542,0,-50,1.85046883628855
1.57542,0,-40,7.49996057384242
1.57542,0,-30,37.4540866149813
1.57542,0,-20,6.55522821046444
1.57542,0,-10,1.22065552340914
1.57542,0,0,0.489266496827373
1.57542,0,10,1.20740511603013
1.57542,0,20,6.63060722878999
1.57542,0,30,43.3771787407267
1.57542,0,40,7.43185105483513
1.57542,0,50,2.08556589767483
1.57542,0,60,2.74285304928001
1.57542,0,70,5.03645228343217
1.57542,0,80,6.85196251595432
1.57542,0,90,8.00110401190923
1.57542,0,100,8.33099214240158
1.57542,0,110,7.83904520362532
1.57542,0,120,6.64812464204128
1.57542,0,130,5.17389612579524
1.57542,0,140,6.92258381195148
1.57542,0,150,28.3403319012744
1.57542,0,160,5.61018465735286
1.57542,0,170,5.85077679599355
1.57542,0,180,1.58988319728727
