"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,8.19437301489229
1.57542,0,-170,22.043466323875
1.57542,0,-160,29.1684863158088
1.57542,0,-150,10.4998219444686
1.57542,0,-140,9.88030193632918
1.57542,0,-130,11.3366831775172
1.57542,0,-120,12.5695749957287
1.57542,0,-110,13.808989038123
1.57542,0,-100,14.5466848948976
1.57542,0,-90,14.2943708166596
1.57542,0,-80,13.2991742616074
1.57542,0,-70,12.0596849828921
1.57542,0,-60,10.8605406027768
1.57542,0,-50,9.77875008206514
1.57542,0,-40,8.82249733101473
1.57542,0,-30,8.03627135701151
1.57542,0,-20,7.51931629664928
1.57542,0,-10,7.39211193710002
1.57542,0,0,8.52083539350149
1.57542,0,10,6.96551452388803
1.57542,0,20,7.54302440626965
1.57542,0,30,8.3658570099641
1.57542,0,40,9.4392819932856
1.57542,0,50,10.7110648800243
1.57542,0,60,12.1798102189003
1.57542,0,70,13.8571755715362
1.57542,0,80,15.6337453768545
1.57542,0,90,17.0937516029168
1.57542,0,100,17.5025820820975
1.57542,0,110,16.4495368739398
1.57542,0,120,14.4304060154672
1.57542,0,130,11.9340003562421
1.57542,0,140,8.67188386624492
1.57542,0,150,7.52128713329655
1.57542,0,160,27.4431365873358
1.57542,0,170,29.2668640537018
1.57542,0,180,8.19437301489229
