"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,14.7312347254674
1.57542,0,-170,11.8507419788326
1.57542,0,-160,8.49664393904892
1.57542,0,-150,8.66940102336267
1.57542,0,-140,12.9067335889259
1.57542,0,-130,16.9413239257146
1.57542,0,-120,21.4779029792244
1.57542,0,-110,29.7770948404157
1.57542,0,-100,52.7027238404134
1.57542,0,-90,42.4487293291469
1.57542,0,-80,37.3840399085532
1.57542,0,-70,25.8856212667061
1.57542,0,-60,20.3712865010502
1.57542,0,-50,16.8949969956942
1.57542,0,-40,14.5302892635339
1.57542,0,-30,12.9762218104785
1.57542,0,-20,12.1621537320837
1.57542,0,-10,12.2322161217498
1.57542,0,0,5.79384826646077
1.57542,0,10,10.345986132148
1.57542,0,20,11.2964408075935
1.57542,0,30,12.3751242443689
1.57542,0,40,13.8372498414331
1.57542,0,50,15.7015160092254
1.57542,0,60,17.9671871697642
1.57542,0,70,20.5923820678424
1.57542,0,80,23.1681487300317
1.57542,0,90,24.2466063969436
1.57542,0,100,22.2189103332779
1.57542,0,110,18.4415222718613
1.57542,0,120,15.1540379786373
1.57542,0,130,12.6010145173904
1.57542,0,140,9.69095497969377
1.57542,0,150,6.68475708783776
1.57542,0,160,7.99036096716029
1.57542,0,170,10.4458700098969
1.57542,0,180,14.7312347254675
