"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.57542,0,-180,7.02824611305488
1.57542,0,-170,18.4771895314849
1.57542,0,-160,11.0028266121188
1.57542,0,-150,6.32841000849073
1.57542,0,-140,8.49999805114032
1.57542,0,-130,13.4167407084566
1.57542,0,-120,19.8087479893102
1.57542,0,-110,34.9960201764629
1.57542,0,-100,28.6325813746353
1.57542,0,-90,26.2015900473759
1.57542,0,-80,35.6292422198941
1.57542,0,-70,26.2805198598655
1.57542,0,-60,17.6398745442387
1.57542,0,-50,13.1081507108223
1.57542,0,-40,10.0855960795887
1.57542,0,-30,7.87542947284578
1.57542,0,-20,6.3152281642346
1.57542,0,-10,5.85990215801089
1.57542,0,0,7.29523422222864
1.57542,0,10,8.55356947048997
1.57542,0,20,7.76024240287852
1.57542,0,30,6.40249161768647
1.57542,0,40,5.19718113287004
1.57542,0,50,4.10748185542919
1.57542,0,60,3.13174698075398
1.57542,0,70,2.55198639986333
1.57542,0,80,2.64759341657599
1.57542,0,90,3.08294513031336
1.57542,0,100,3.37012283590214
1.57542,0,110,3.44275888946484
1.57542,0,120,3.76434216639839
1.57542,0,130,4.63706735715601
1.57542,0,140,5.46320387220867
1.57542,0,150,6.73615901295426
1.57542,0,160,19.3124343538911
1.57542,0,170,14.2684340386233
1.57542,0,180,7.02824611305489
