"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-32.694194026568,-32.7558389867342
1.57542,0,-170,-37.4249937089906,-34.5232376082756
1.57542,0,-160,-45.5598566292947,-35.8398560735977
1.57542,0,-150,-33.8444737049252,-32.3230480281204
1.57542,0,-140,-29.6688275034479,-30.3776143233357
1.57542,0,-130,-25.4097136822546,-27.3964816288512
1.57542,0,-120,-22.12800958737,-24.5628480513427
1.57542,0,-110,-19.9195664344939,-22.5859791351713
1.57542,0,-100,-18.3115128859674,-21.141972880374
1.57542,0,-90,-17.026947963477,-20.007720922916
1.57542,0,-80,-16.1010036284959,-19.2327312795479
1.57542,0,-70,-15.8977587888194,-19.1042666803261
1.57542,0,-60,-17.349937083598,-20.2251465714519
1.57542,0,-50,-24.2051531032694,-23.5623262848825
1.57542,0,-40,-22.2708114792358,-23.0040381972164
1.57542,0,-30,-11.240807976512,-15.8241239739614
1.57542,0,-20,-6.15225137997326,-11.2142962934949
1.57542,0,-10,-3.4977187062913,-8.74396423631922
1.57542,0,0,-2.64847522795918,-8.05462052165356
1.57542,0,10,-3.49756622384353,-9.09410816537277
1.57542,0,20,-6.21159656944243,-12.039163599359
1.57542,0,30,-11.5161157326465,-17.7321920484654
1.57542,0,40,-23.5399944163904,-29.1012218086514
1.57542,0,50,-22.4001040659263,-23.4178878391319
1.57542,0,60,-16.696110189021,-19.5738356454457
1.57542,0,70,-15.5447163023186,-18.6674092304739
1.57542,0,80,-15.9617092106986,-18.9960992423969
1.57542,0,90,-17.1285566527216,-19.9042140532982
1.57542,0,100,-18.7358706824404,-21.0888752269714
1.57542,0,110,-20.7822369582482,-22.4747401880965
1.57542,0,120,-23.5478544086874,-24.2059052581946
1.57542,0,130,-26.913468367414,-26.4674395302741
1.57542,0,140,-27.3308530524726,-28.7998930363071
1.57542,0,150,-25.6355997715581,-31.0027784971097
1.57542,0,160,-26.4896282595503,-37.2604692362943
1.57542,0,170,-30.1987659200181,-39.5334625611636
1.57542,0,180,-32.694194026568,-32.7558389867342
