"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-29.4671826131091,-46.0412142884956
1.57542,0,-170,-29.676554685152,-30.0224796267123
1.57542,0,-160,-23.4299972244949,-29.4993267338695
1.57542,0,-150,-20.9487652519931,-31.6051398458042
1.57542,0,-140,-19.2417151886247,-23.6532796401307
1.57542,0,-130,-18.0393992856572,-19.7403131195374
1.57542,0,-120,-17.4557175931486,-17.7713976183419
1.57542,0,-110,-17.0832196318536,-16.3208700178874
1.57542,0,-100,-16.3667701223594,-14.8208159022374
1.57542,0,-90,-14.9183412641536,-13.1505369606319
1.57542,0,-80,-12.6753174979007,-11.3605296613009
1.57542,0,-70,-9.90510631409106,-9.59244425348512
1.57542,0,-60,-7.03322855458558,-8.05224650175646
1.57542,0,-50,-4.45227280353265,-6.96244248402505
1.57542,0,-40,-2.45557619709753,-6.49838541178338
1.57542,0,-30,-1.26079557658625,-6.69777114673257
1.57542,0,-20,-1.02946716011526,-7.29777279554865
1.57542,0,-10,-1.73787014591987,-7.58224727667552
1.57542,0,0,-2.66784710605612,-6.99244708914944
1.57542,0,10,-2.4410615767192,-6.01962140501394
1.57542,0,20,-1.39202744895969,-5.34686825573784
1.57542,0,30,-0.81473868048032,-5.2915638302891
1.57542,0,40,-1.11606183339146,-6.02805025983219
1.57542,0,50,-2.20574987656385,-7.61326957465929
1.57542,0,60,-3.85450824058739,-9.93108886431731
1.57542,0,70,-5.80013568246586,-12.6934254308374
1.57542,0,80,-7.79422063297179,-15.4647959011561
1.57542,0,90,-9.63741199906371,-17.7551377650049
1.57542,0,100,-11.2132817187031,-19.2069364622042
1.57542,0,110,-12.5126952270301,-19.7374238317995
1.57542,0,120,-13.6499661349448,-19.6454203060147
1.57542,0,130,-14.9509869223451,-19.6829758742816
1.57542,0,140,-17.1138903918761,-20.8181581041487
1.57542,0,150,-21.0028626115474,-23.5176034480367
1.57542,0,160,-24.5613728846672,-25.997147566846
1.57542,0,170,-24.8331652409905,-28.8832979066154
1.57542,0,180,-29.4671826131091,-46.0412142884955
