"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-26.7307159729074,-34.8843852565319
1.57542,0,-170,-30.9635842535143,-26.7114736260648
1.57542,0,-160,-23.1744110999348,-24.2874206424432
1.57542,0,-150,-20.2198304254564,-25.7535517939064
1.57542,0,-140,-18.3371984552227,-23.3915700649362
1.57542,0,-130,-17.0252959950795,-19.7362317883849
1.57542,0,-120,-16.3604185604548,-17.5248561645526
1.57542,0,-110,-15.9010049190859,-15.9389451753409
1.57542,0,-100,-15.0486663323341,-14.3810978865244
1.57542,0,-90,-13.4312294920335,-12.6697257763585
1.57542,0,-80,-11.0733530385607,-10.8480290767546
1.57542,0,-70,-8.30448048290555,-9.06855153372115
1.57542,0,-60,-5.5432661403817,-7.54522312090331
1.57542,0,-50,-3.15542950527323,-6.5180166600554
1.57542,0,-40,-1.41708622379859,-6.2204895017429
1.57542,0,-30,-0.522379107976437,-6.85061653657696
1.57542,0,-20,-0.575633618732463,-8.46205041882826
1.57542,0,-10,-1.45395104642614,-10.2721470834282
1.57542,0,0,-2.38702352562597,-10.2097009503546
1.57542,0,10,-2.21769074235013,-9.10707511320652
1.57542,0,20,-1.34487555657568,-8.92621172978277
1.57542,0,30,-0.898666901454762,-9.95449240991145
1.57542,0,40,-1.28473034832768,-12.0862274984599
1.57542,0,50,-2.4567856347982,-15.3876070391541
1.57542,0,60,-4.20510855859558,-19.9412417861285
1.57542,0,70,-6.26042808549419,-24.9023396951455
1.57542,0,80,-8.34945465273878,-27.1250149860437
1.57542,0,90,-10.2422110960261,-27.2601034567211
1.57542,0,100,-11.7976416293683,-27.9264976946334
1.57542,0,110,-12.9962230627226,-28.9327035397246
1.57542,0,120,-13.9782450285098,-28.2938999742409
1.57542,0,130,-15.1833799213638,-26.465354119915
1.57542,0,140,-17.5835362126159,-26.1742282405583
1.57542,0,150,-22.8205812007225,-27.6268004920144
1.57542,0,160,-26.2201812838763,-27.1222081626395
1.57542,0,170,-23.311552481201,-27.913231851139
1.57542,0,180,-26.7307159729074,-34.8843852565319
