"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-26.7319760968653,-40.9234152911667
1.57542,0,-170,-27.1973724351592,-38.3963315858284
1.57542,0,-160,-27.3293124394531,-28.1857969051129
1.57542,0,-150,-28.0976755392422,-25.8239745642016
1.57542,0,-140,-29.8431162727816,-27.0295270547026
1.57542,0,-130,-26.4761263056584,-27.7345142769682
1.57542,0,-120,-22.633220344423,-25.170200585639
1.57542,0,-110,-20.1723091842247,-22.5761675438788
1.57542,0,-100,-18.4004986003709,-20.6522982628791
1.57542,0,-90,-16.9227778025327,-19.2077370643595
1.57542,0,-80,-15.7295131664966,-18.2637652639713
1.57542,0,-70,-15.1291176799389,-18.1168342461517
1.57542,0,-60,-15.858375467496,-19.4321527677605
1.57542,0,-50,-20.1585313027899,-22.9748667300018
1.57542,0,-40,-28.4757733924503,-20.4093116706811
1.57542,0,-30,-12.5905432907098,-13.8235424980813
1.57542,0,-20,-6.67203549188128,-9.91340977620687
1.57542,0,-10,-3.68499972756964,-7.98252680996205
1.57542,0,0,-2.68742260964477,-7.64367951288214
1.57542,0,10,-3.46172694232378,-8.84955605442804
1.57542,0,20,-6.06304180372314,-11.8519821300901
1.57542,0,30,-10.9530588504168,-17.7409132237436
1.57542,0,40,-20.4611204260958,-37.1275499922994
1.57542,0,50,-28.8013000896982,-22.7654905465778
1.57542,0,60,-19.7208556027561,-18.2319046700532
1.57542,0,70,-17.9926767214637,-17.0012095625572
1.57542,0,80,-18.1367465262148,-17.1031365943441
1.57542,0,90,-19.0170012317009,-17.8626635797363
1.57542,0,100,-20.1894835241063,-18.9616303972966
1.57542,0,110,-21.6098900549007,-20.3301787667461
1.57542,0,120,-23.6715968612776,-22.2029142688234
1.57542,0,130,-27.2822289175129,-25.0239353349931
1.57542,0,140,-34.2049444135809,-28.4387144656383
1.57542,0,150,-58.0010230376749,-30.7625787532625
1.57542,0,160,-36.2769667344085,-35.52440282153
1.57542,0,170,-28.9983579639777,-44.4848466220294
1.57542,0,180,-26.7319760968653,-40.9234152911667
