"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-28.1837206384068,-39.1395303940713
1.57542,0,-170,-27.9763671917795,-42.0528179033797
1.57542,0,-160,-27.9554357792507,-30.2434801359064
1.57542,0,-150,-29.1108618237963,-27.3503025882098
1.57542,0,-140,-30.9666545192,-27.7348438149816
1.57542,0,-130,-26.9109266892986,-27.5017916703814
1.57542,0,-120,-22.9259587772819,-25.2456701875315
1.57542,0,-110,-20.4165345595504,-23.0232095360697
1.57542,0,-100,-18.6131953333188,-21.3182321210526
1.57542,0,-90,-17.1395552445204,-20.06703641489
1.57542,0,-80,-16.010010428313,-19.3637312078135
1.57542,0,-70,-15.5630872512413,-19.5574606855892
1.57542,0,-60,-16.6184800535098,-21.4058683327421
1.57542,0,-50,-21.875805009523,-25.2262869571628
1.57542,0,-40,-23.0167264201289,-20.4576354705876
1.57542,0,-30,-11.4148670871156,-14.1791818141644
1.57542,0,-20,-6.06664531641107,-10.4979078804105
1.57542,0,-10,-3.31933327428143,-8.6405185995099
1.57542,0,0,-2.47806754961185,-8.29770289773611
1.57542,0,10,-3.39221374650303,-9.45568948327604
1.57542,0,20,-6.16424200249349,-12.3262393840059
1.57542,0,30,-11.3717548452957,-17.690897078965
1.57542,0,40,-22.2453448147821,-28.4432203526697
1.57542,0,50,-25.3556996355649,-24.1344413901893
1.57542,0,60,-18.2338354060722,-19.6086942244234
1.57542,0,70,-16.738974812453,-18.2621734554177
1.57542,0,80,-16.8710314951558,-18.2939969691582
1.57542,0,90,-17.6416042927382,-19.0463055770819
1.57542,0,100,-18.6497217893335,-20.2193783796666
1.57542,0,110,-19.8583876841082,-21.7700461150321
1.57542,0,120,-21.5849994241247,-24.0363009011021
1.57542,0,130,-24.4442416780712,-27.9345639952627
1.57542,0,140,-29.1682533367981,-34.5015765485728
1.57542,0,150,-36.6491400200295,-37.6863593521376
1.57542,0,160,-41.2648199078229,-42.9730996058886
1.57542,0,170,-31.3429419325999,-43.2145663695003
1.57542,0,180,-28.1837206384068,-39.1395303940713
