"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-25.8153961743238,-35.6327715449868
1.57542,0,-170,-27.15291117364,-33.4875052435221
1.57542,0,-160,-31.5545570286152,-30.5033312710026
1.57542,0,-150,-37.043199679365,-30.4657349700358
1.57542,0,-140,-34.2865224190043,-31.7418314335189
1.57542,0,-130,-28.8002677417429,-27.68151324391
1.57542,0,-120,-25.2652127397513,-23.8086577043322
1.57542,0,-110,-23.0407401289289,-21.4428803448649
1.57542,0,-100,-21.4253064331644,-19.8699034773903
1.57542,0,-90,-20.0992882330054,-18.7553180432528
1.57542,0,-80,-19.1524412799476,-18.1162001273324
1.57542,0,-70,-19.1091142315046,-18.2365991059087
1.57542,0,-60,-21.4147751575727,-19.7761021500055
1.57542,0,-50,-33.8111244154605,-24.3598543055395
1.57542,0,-40,-17.5810520436313,-25.9193001257894
1.57542,0,-30,-9.56381402526391,-17.2516998238083
1.57542,0,-20,-5.07692365814081,-12.486727563258
1.57542,0,-10,-2.66107896977167,-9.88154546412056
1.57542,0,0,-1.97814491259161,-8.75963269396021
1.57542,0,10,-2.99445323232305,-8.95786621355694
1.57542,0,20,-5.90218494821689,-10.5965729590835
1.57542,0,30,-11.4654377051234,-14.1651535852261
1.57542,0,40,-24.1932609667457,-21.256725906029
1.57542,0,50,-22.1661255418274,-31.3360053852424
1.57542,0,60,-16.912363598504,-22.1902064622416
1.57542,0,70,-16.0303427281179,-19.4469151027523
1.57542,0,80,-16.6357845558437,-18.9495792456689
1.57542,0,90,-17.875570376716,-19.5292244328275
1.57542,0,100,-19.3956070362708,-20.7987144099043
1.57542,0,110,-21.1938733637166,-22.7425789027398
1.57542,0,120,-23.6772599617541,-25.6696946876646
1.57542,0,130,-27.5509788140697,-29.3234261476375
1.57542,0,140,-30.7587898124811,-28.8471410589592
1.57542,0,150,-28.636809694881,-26.6027835457141
1.57542,0,160,-27.3930399979494,-27.3897400668335
1.57542,0,170,-26.6656975745195,-31.7441299266075
1.57542,0,180,-25.8153961743238,-35.6327715449868
