"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-28.3000051166209,-44.2772222359016
1.57542,0,-170,-24.0851839879517,-29.4142939713393
1.57542,0,-160,-24.0317936719158,-25.7131172331633
1.57542,0,-150,-20.6953013858403,-23.1717958955734
1.57542,0,-140,-16.8985690382398,-20.9620487046477
1.57542,0,-130,-14.8696305865806,-20.3256656699671
1.57542,0,-120,-13.7164408020714,-20.7628282272702
1.57542,0,-110,-12.6797007391187,-21.1938930244054
1.57542,0,-100,-11.4107071815994,-20.7633684262573
1.57542,0,-90,-9.81818567245991,-19.2473890535802
1.57542,0,-80,-7.94328930909214,-16.7958533050114
1.57542,0,-70,-5.92233332899118,-13.7774830989403
1.57542,0,-60,-3.96145477243425,-10.7279539844264
1.57542,0,-50,-2.30883430107794,-8.13362798021173
1.57542,0,-40,-1.22357521705045,-6.30039617187735
1.57542,0,-30,-0.927625363502662,-5.34067304522589
1.57542,0,-20,-1.49616954245496,-5.20977990202215
1.57542,0,-10,-2.50736328607635,-5.77477365308485
1.57542,0,0,-2.70331025454669,-6.71965786919345
1.57542,0,10,-1.7855119806673,-7.25395941644419
1.57542,0,20,-1.07773378892501,-6.83636507540045
1.57542,0,30,-1.28604003935553,-6.15724693658932
1.57542,0,40,-2.46180692545126,-5.98842733219705
1.57542,0,50,-4.47292338376776,-6.55025925350945
1.57542,0,60,-7.11368303583025,-7.7478379582742
1.57542,0,70,-10.0855538522475,-9.36680734297866
1.57542,0,80,-12.9836095243643,-11.1655836277406
1.57542,0,90,-15.3688861461925,-12.9288894533329
1.57542,0,100,-16.9604510694242,-14.5113142103788
1.57542,0,110,-17.8028570391377,-15.8771215983765
1.57542,0,120,-18.2630390123306,-17.1997926242018
1.57542,0,130,-18.8777183345738,-19.1216762860401
1.57542,0,140,-19.9655946030055,-23.1846884188072
1.57542,0,150,-21.2051517212522,-32.5045643240629
1.57542,0,160,-23.0559400689109,-28.8298397607964
1.57542,0,170,-28.5326884893144,-28.6044294021854
1.57542,0,180,-28.3000051166209,-44.2772222359015
