"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-29.7268863634043,-35.4857781828543
1.57542,0,-170,-30.063329859943,-33.5516270960442
1.57542,0,-160,-22.6253504889618,-29.2778827826393
1.57542,0,-150,-20.0125522290338,-31.6779803555843
1.57542,0,-140,-18.3077004369661,-25.1806877420586
1.57542,0,-130,-17.0027513162456,-20.6235118952619
1.57542,0,-120,-16.2670394888324,-18.3201075733226
1.57542,0,-110,-15.7348451331061,-16.7671568875445
1.57542,0,-100,-14.8527356343729,-15.2751245403039
1.57542,0,-90,-13.2630504284617,-13.6461373871507
1.57542,0,-80,-10.9683918221563,-11.9107571778456
1.57542,0,-70,-8.26300320447444,-10.213989853014
1.57542,0,-60,-5.54127229498817,-8.77272846575789
1.57542,0,-50,-3.1559292609142,-7.82933787117511
1.57542,0,-40,-1.37617358856818,-7.5853676628021
1.57542,0,-30,-0.399707964758002,-8.08587471915097
1.57542,0,-20,-0.35022425443269,-8.95732067947777
1.57542,0,-10,-1.1238062507658,-9.21575256188376
1.57542,0,0,-1.92972486833687,-8.59226821126201
1.57542,0,10,-1.6263136154925,-8.21715387421437
1.57542,0,20,-0.728142971928817,-8.68133034014301
1.57542,0,30,-0.361585058341557,-9.72080105699568
1.57542,0,40,-0.874939483760177,-11.0363436387672
1.57542,0,50,-2.18247872779084,-12.675308286315
1.57542,0,60,-4.0515148905054,-14.6324849371938
1.57542,0,70,-6.20248427838775,-16.6464171845788
1.57542,0,80,-8.36454941359889,-18.4362291214846
1.57542,0,90,-10.317658068287,-19.9347697676279
1.57542,0,100,-11.9236453311872,-21.2148248005189
1.57542,0,110,-13.1409626813596,-22.2567383155216
1.57542,0,120,-14.0477741579691,-22.8646470098668
1.57542,0,130,-14.9862387145889,-23.2517432701796
1.57542,0,140,-16.7767923309956,-24.7659432556545
1.57542,0,150,-20.6583285954921,-28.8439710930988
1.57542,0,160,-25.5743576813618,-28.9747852817013
1.57542,0,170,-25.3157020550992,-27.643274226601
1.57542,0,180,-29.7268863634043,-35.4857781828542
