"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-32.2167973249504,-43.7343276041698
1.57542,0,-170,-22.0998105906945,-29.5740876196871
1.57542,0,-160,-19.6723899950745,-27.7375414806818
1.57542,0,-150,-18.9094817091568,-28.1343171020537
1.57542,0,-140,-17.9167065145996,-24.4603189156025
1.57542,0,-130,-17.2969486916537,-22.0874513303727
1.57542,0,-120,-17.2518859677188,-21.1333504318152
1.57542,0,-110,-17.1742551732974,-20.3787839679464
1.57542,0,-100,-16.4732188987075,-19.1396868901747
1.57542,0,-90,-14.9729295358923,-17.2905285966846
1.57542,0,-80,-12.8208724156082,-14.9830641133299
1.57542,0,-70,-10.3217451938957,-12.5151622591306
1.57542,0,-60,-7.85026423246425,-10.2507044156052
1.57542,0,-50,-5.78461472029907,-8.53445073917485
1.57542,0,-40,-4.47681677678358,-7.65372963091601
1.57542,0,-30,-4.3010707784053,-7.88822722379855
1.57542,0,-20,-5.86019380118656,-9.74802876942061
1.57542,0,-10,-10.8827269752341,-14.8698715222442
1.57542,0,0,-29.0437479160813,-27.0531804975826
1.57542,0,10,-9.55533669774413,-13.5201737396061
1.57542,0,20,-5.13037546805616,-9.09999895464559
1.57542,0,30,-3.78093242233943,-7.45168787079126
1.57542,0,40,-4.11064303802802,-7.27197114930497
1.57542,0,50,-5.58454194666373,-8.10099821551627
1.57542,0,60,-7.83548398839577,-9.6376238255854
1.57542,0,70,-10.4886628712951,-11.5798114232818
1.57542,0,80,-13.1236680493743,-13.6253669013702
1.57542,0,90,-15.3079317134292,-15.5183290932793
1.57542,0,100,-16.6848914119815,-17.0913494768488
1.57542,0,110,-17.1452355665306,-18.2763244803285
1.57542,0,120,-17.036748311414,-19.1539085051933
1.57542,0,130,-17.1186310234087,-20.1991957885791
1.57542,0,140,-18.1816229236923,-22.3959253175985
1.57542,0,150,-20.470035484548,-25.9750648740767
1.57542,0,160,-23.3534637009149,-26.7975610050044
1.57542,0,170,-29.6022592375705,-28.4492567749614
1.57542,0,180,-32.2167973249504,-43.7343276041698
