"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-28.5874403207617,-49.4182533199964
1.57542,0,-170,-29.2754545261341,-33.5876569759924
1.57542,0,-160,-28.1701494215203,-27.1177058707259
1.57542,0,-150,-27.4318924438983,-25.597031203595
1.57542,0,-140,-28.84136333163,-26.3915614575527
1.57542,0,-130,-27.9245244314539,-25.5671811368585
1.57542,0,-120,-24.5778208524637,-23.0277924988738
1.57542,0,-110,-21.9588576902153,-20.9095634943918
1.57542,0,-100,-20.003292847705,-19.3266404375187
1.57542,0,-90,-18.3935130378739,-18.1087710533197
1.57542,0,-80,-17.13905324418,-17.3309955486676
1.57542,0,-70,-16.5785518247406,-17.362150783227
1.57542,0,-60,-17.5632560049927,-19.0796063354224
1.57542,0,-50,-23.1665340923972,-24.9520962934081
1.57542,0,-40,-24.3256148372016,-21.8033091869514
1.57542,0,-30,-11.8984910595646,-13.4070859884122
1.57542,0,-20,-6.43066305861128,-9.11721054166261
1.57542,0,-10,-3.58717289267172,-7.01267405675129
1.57542,0,0,-2.64369930212101,-6.5418724107035
1.57542,0,10,-3.43555803054812,-7.59033484114675
1.57542,0,20,-6.0415814130318,-10.3420479956292
1.57542,0,30,-10.9553435267403,-15.6129965510546
1.57542,0,40,-20.6445708610577,-26.8727131484037
1.57542,0,50,-28.4208178907661,-22.722414033579
1.57542,0,60,-19.5859925458049,-18.0064939536429
1.57542,0,70,-17.9871581270307,-16.7047772673951
1.57542,0,80,-18.2494546063136,-16.8138494765078
1.57542,0,90,-19.2435725288831,-17.6562658968818
1.57542,0,100,-20.5313031173682,-18.9644188263341
1.57542,0,110,-22.0683251546442,-20.7575648276839
1.57542,0,120,-24.1714727536229,-23.4295337198313
1.57542,0,130,-27.3298817011609,-27.8449867907026
1.57542,0,140,-31.3207589621045,-32.8968084971357
1.57542,0,150,-35.501740752987,-31.9976306857063
1.57542,0,160,-39.6418120706371,-33.6503687908867
1.57542,0,170,-31.2142536324254,-41.6504503476202
1.57542,0,180,-28.5874403207617,-49.4182533199964
