"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-41.3731644381825,-42.1686473743421
1.57542,0,-170,-48.3133924443656,-44.1708707710988
1.57542,0,-160,-31.6764519577268,-39.9068003019475
1.57542,0,-150,-26.0132783123124,-33.3879885190166
1.57542,0,-140,-23.4447745034824,-28.3214302542199
1.57542,0,-130,-22.1629634109165,-24.5495829569557
1.57542,0,-120,-21.300964459136,-21.9943759718155
1.57542,0,-110,-20.4237570700772,-20.1868136814773
1.57542,0,-100,-19.3421976855171,-18.6972608965693
1.57542,0,-90,-17.9239094929335,-17.3091552017385
1.57542,0,-80,-15.9842029749108,-16.0171394995016
1.57542,0,-70,-13.3625217390355,-14.9657307470989
1.57542,0,-60,-10.1336819735193,-14.3931352817437
1.57542,0,-50,-6.64882004840525,-14.5971297608335
1.57542,0,-40,-3.32627584945166,-15.929680721939
1.57542,0,-30,-0.488149592314331,-18.8510595011167
1.57542,0,-20,1.65792177824789,-24.1330788704005
1.57542,0,-10,2.98268479898407,-32.1095070914236
1.57542,0,0,3.40708067225131,-31.8675634433849
1.57542,0,10,2.89472905807037,-30.1763043482334
1.57542,0,20,1.45519852450366,-26.28579641606
1.57542,0,30,-0.849619275507819,-20.881132545753
1.57542,0,40,-3.89034485666481,-17.3767183065481
1.57542,0,50,-7.43844543953226,-15.637567479364
1.57542,0,60,-11.129493426217,-15.1798509153342
1.57542,0,70,-14.4918312209451,-15.5969561669923
1.57542,0,80,-17.1597679453019,-16.5545878224557
1.57542,0,90,-19.1255499376253,-17.7937230856804
1.57542,0,100,-20.641169724411,-19.1635727262132
1.57542,0,110,-21.9406318158269,-20.6818107071108
1.57542,0,120,-23.1527863383677,-22.6021537162941
1.57542,0,130,-24.4117488446635,-25.4253261377409
1.57542,0,140,-26.0604917332688,-29.6597380075897
1.57542,0,150,-28.9431728203909,-34.6106222178448
1.57542,0,160,-35.3593651148,-39.0491158480992
1.57542,0,170,-54.6659430586412,-44.3634328956984
1.57542,0,180,-41.3731644381825,-42.1686473743421
