"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-53.8935820448835,-39.8174707829261
1.57542,0,-170,-24.6357536000039,-29.2673113266819
1.57542,0,-160,-20.7412743473801,-25.9516110151913
1.57542,0,-150,-19.2484552032586,-25.8230460590068
1.57542,0,-140,-17.7620351032951,-23.7846579173625
1.57542,0,-130,-16.8202222344931,-22.016221367221
1.57542,0,-120,-16.5526855016064,-21.2760357841949
1.57542,0,-110,-16.3838063810451,-20.6387939007759
1.57542,0,-100,-15.7360826541082,-19.4471875937042
1.57542,0,-90,-14.3594658828614,-17.6351081357071
1.57542,0,-80,-12.3238199915307,-15.399669723201
1.57542,0,-70,-9.90473889068512,-13.0142961822499
1.57542,0,-60,-7.48049776491393,-10.7953397471623
1.57542,0,-50,-5.44444188087968,-9.06273657389808
1.57542,0,-40,-4.15952999057795,-8.10192687198836
1.57542,0,-30,-3.99121191359552,-8.18906015240596
1.57542,0,-20,-5.48740472055774,-9.80734200862704
1.57542,0,-10,-10.1269732521864,-14.4778231967834
1.57542,0,0,-34.079610567172,-38.3888207325982
1.57542,0,10,-10.7381068790808,-14.8823214971786
1.57542,0,20,-5.84003206225414,-9.97238272347725
1.57542,0,30,-4.288388033305,-8.21526534206296
1.57542,0,40,-4.45892702418849,-7.98531702615808
1.57542,0,50,-5.77585466977052,-8.79436163540848
1.57542,0,60,-7.86574194386094,-10.3784360941432
1.57542,0,70,-10.3605349355104,-12.4609023426006
1.57542,0,80,-12.8621264621497,-14.7192097893748
1.57542,0,90,-14.9870546244028,-16.8214254824681
1.57542,0,100,-16.4362628474193,-18.4749233819169
1.57542,0,110,-17.0821336194906,-19.482350773392
1.57542,0,120,-17.1422754224668,-19.9465979921536
1.57542,0,130,-17.2503322954269,-20.5643065441447
1.57542,0,140,-18.0553054728487,-22.3328887040042
1.57542,0,150,-19.4205697841153,-24.7580711717164
1.57542,0,160,-20.7089102712267,-24.7050348447424
1.57542,0,170,-24.2250675792304,-26.338235597502
1.57542,0,180,-53.8935820448831,-39.817470782926
