"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-43.4615893101478,-36.4653177216246
1.57542,0,-170,-30.476901005802,-28.5174664410361
1.57542,0,-160,-27.0516571236916,-28.1787040233542
1.57542,0,-150,-24.7643344364271,-30.1026600570313
1.57542,0,-140,-21.6487866792205,-24.9404901749891
1.57542,0,-130,-19.9014458218425,-21.7891228959589
1.57542,0,-120,-19.2051446517818,-20.3528076977179
1.57542,0,-110,-18.6107164748048,-19.3149426019587
1.57542,0,-100,-17.4607174006796,-18.045706434607
1.57542,0,-90,-15.594697820649,-16.383566619161
1.57542,0,-80,-13.1729267506399,-14.3915479472184
1.57542,0,-70,-10.4959383203098,-12.2688240127609
1.57542,0,-60,-7.92281258009589,-10.3066927704586
1.57542,0,-50,-5.82021806268191,-8.83669635896412
1.57542,0,-40,-4.53775288813951,-8.18913960270358
1.57542,0,-30,-4.44112504280915,-8.68144092090711
1.57542,0,-20,-6.09770667596537,-10.7211463466134
1.57542,0,-10,-11.1494899331806,-15.4477193654164
1.57542,0,0,-31.9333278582815,-32.8234822086301
1.57542,0,10,-10.3251486786284,-17.1919714372075
1.57542,0,20,-5.8334805017788,-11.1707131110586
1.57542,0,30,-4.46657576018994,-8.60176798954242
1.57542,0,40,-4.79296094179561,-7.83260082586154
1.57542,0,50,-6.2739810678663,-8.32869828263004
1.57542,0,60,-8.55061145177509,-9.71456626789247
1.57542,0,70,-11.2727160127966,-11.6247451884247
1.57542,0,80,-14.0591063429269,-13.7003344615418
1.57542,0,90,-16.524893525596,-15.6271130379664
1.57542,0,100,-18.3604147964045,-17.1873490721479
1.57542,0,110,-19.4459102046167,-18.3162028654637
1.57542,0,120,-20.0184893789186,-19.2156564328608
1.57542,0,130,-20.8022330653145,-20.5704160595363
1.57542,0,140,-22.7831067287036,-23.7465178806197
1.57542,0,150,-25.8358233062403,-30.4173859503828
1.57542,0,160,-26.5222531196695,-29.9615322537897
1.57542,0,170,-28.3877640942833,-30.0466628440567
1.57542,0,180,-43.4615893101477,-36.4653177216246
