"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-27.3201135703402,-44.0379110667426
1.57542,0,-170,-28.967253570317,-34.3863588731555
1.57542,0,-160,-29.2146171628302,-27.8591358447381
1.57542,0,-150,-29.459625852607,-25.9040583433107
1.57542,0,-140,-32.5053278915394,-26.4416918368041
1.57542,0,-130,-29.1663933563635,-25.9634315126622
1.57542,0,-120,-24.4345991954866,-23.5656029816161
1.57542,0,-110,-21.6106935543646,-21.3615575383486
1.57542,0,-100,-19.6784999377985,-19.7130029163736
1.57542,0,-90,-18.1319779963492,-18.4837796106439
1.57542,0,-80,-16.9309154621467,-17.7143077796673
1.57542,0,-70,-16.3980424386674,-17.7236741344352
1.57542,0,-60,-17.3676981951912,-19.3135677996922
1.57542,0,-50,-22.7296727837323,-24.5422587347581
1.57542,0,-40,-24.0879012632933,-22.1675397904082
1.57542,0,-30,-11.8226094259703,-13.9055350723799
1.57542,0,-20,-6.32515480751438,-9.58593399003393
1.57542,0,-10,-3.4580259338688,-7.50400054843597
1.57542,0,0,-2.49657257953487,-7.11360357277343
1.57542,0,10,-3.26768127755161,-8.27709842331224
1.57542,0,20,-5.82898085628425,-11.1326027832356
1.57542,0,30,-10.6110203458355,-16.3959463268043
1.57542,0,40,-19.7200147685721,-26.4224260616569
1.57542,0,50,-30.6184881957213,-23.1909262979827
1.57542,0,60,-20.0578851396584,-18.7593084068033
1.57542,0,70,-18.1318276552025,-17.4278733860373
1.57542,0,80,-18.1761268934278,-17.4582991341822
1.57542,0,90,-18.9746485642353,-18.1972311913075
1.57542,0,100,-20.0726752033144,-19.3505015744632
1.57542,0,110,-21.4329926522862,-20.8689959162583
1.57542,0,120,-23.4277455576636,-23.0388002891673
1.57542,0,130,-26.8270893105145,-26.5539850554811
1.57542,0,140,-32.8169107389074,-31.1629642705466
1.57542,0,150,-44.2653960635319,-31.812847597251
1.57542,0,160,-35.8448115541533,-33.1154206003453
1.57542,0,170,-28.9156977400071,-40.3460421154372
1.57542,0,180,-27.3201135703402,-44.0379110667426
