"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-47.7689655494857,-34.5755842329692
1.57542,0,-170,-30.1908706914587,-26.156657122477
1.57542,0,-160,-27.0073184258054,-25.9779777704532
1.57542,0,-150,-24.0653479936897,-30.5779427255704
1.57542,0,-140,-20.5761498371995,-27.1691363102083
1.57542,0,-130,-18.7693881885492,-23.0674855533322
1.57542,0,-120,-18.0520178787865,-21.040083955629
1.57542,0,-110,-17.4657976403716,-19.5993695893493
1.57542,0,-100,-16.3841564545187,-18.1260814225358
1.57542,0,-90,-14.6190165568815,-16.4564719905111
1.57542,0,-80,-12.2846827830064,-14.6075615718456
1.57542,0,-70,-9.66458776085925,-12.7210635349837
1.57542,0,-60,-7.11657952959856,-11.0385364527191
1.57542,0,-50,-5.00191176345255,-9.86308120547927
1.57542,0,-40,-3.65920949856243,-9.51913504788194
1.57542,0,-30,-3.44076395397133,-10.3181658952748
1.57542,0,-20,-4.86942806330946,-12.6301096246922
1.57542,0,-10,-9.28733004377456,-17.5649367194171
1.57542,0,0,-25.6693670905353,-37.0165576812243
1.57542,0,10,-10.7799501070136,-19.5545266683365
1.57542,0,20,-5.6707096543895,-13.7256176299151
1.57542,0,30,-4.0228728061717,-11.2819406899372
1.57542,0,40,-4.1329399109596,-10.5214430247952
1.57542,0,50,-5.40081036846659,-10.9440932703368
1.57542,0,60,-7.4532043144393,-12.2226031120436
1.57542,0,70,-9.9544274731365,-14.0261166850179
1.57542,0,80,-12.5601691324534,-16.0143630748113
1.57542,0,90,-14.9347053315816,-17.8789479372426
1.57542,0,100,-16.8066271411426,-19.3936574793066
1.57542,0,110,-18.0521428315492,-20.4476674519749
1.57542,0,120,-18.8547082457612,-21.165165302339
1.57542,0,130,-19.8848683107873,-22.208764442106
1.57542,0,140,-22.1345376548017,-24.8863169757885
1.57542,0,150,-25.4697949496723,-30.0549402759314
1.57542,0,160,-26.157628500912,-30.6116863176502
1.57542,0,170,-28.18028183699,-32.9199020945235
1.57542,0,180,-47.7689655494855,-34.5755842329692
