"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-26.0158508333515,-35.0237094541336
1.57542,0,-170,-22.612798074111,-27.7113359444389
1.57542,0,-160,-23.0134253129832,-23.7359368843943
1.57542,0,-150,-21.2619263369379,-21.5810578995385
1.57542,0,-140,-17.6712758911337,-19.9036208879399
1.57542,0,-130,-15.5430594952966,-19.2951382227194
1.57542,0,-120,-14.313726929807,-19.4647117400804
1.57542,0,-110,-13.2206433062921,-19.6272714375038
1.57542,0,-100,-11.889902486032,-19.139078142781
1.57542,0,-90,-10.2248046369827,-17.7482411754261
1.57542,0,-80,-8.27542880305845,-15.5282182623471
1.57542,0,-70,-6.19089737751226,-12.801251614091
1.57542,0,-60,-4.19051776087131,-10.0304593409431
1.57542,0,-50,-2.53217934123957,-7.64568825822784
1.57542,0,-40,-1.47534341407874,-5.93785207406476
1.57542,0,-30,-1.23140194669326,-5.03117868756344
1.57542,0,-20,-1.8552635524011,-4.90110005121773
1.57542,0,-10,-2.87966046628211,-5.42343966964021
1.57542,0,0,-3.00380406603346,-6.28060506044188
1.57542,0,10,-2.04313266427221,-6.73811756921674
1.57542,0,20,-1.37053409104749,-6.32934808551046
1.57542,0,30,-1.63681306452258,-5.6826649675748
1.57542,0,40,-2.86095903312748,-5.52571765065844
1.57542,0,50,-4.91171418023711,-6.0950782101394
1.57542,0,60,-7.60293585897754,-7.315835078332
1.57542,0,70,-10.6547157803473,-8.98159281375343
1.57542,0,80,-13.6623279064935,-10.8530998134223
1.57542,0,90,-16.1565786568474,-12.7232748181701
1.57542,0,100,-17.8010643031544,-14.466786146347
1.57542,0,110,-18.592266768398,-16.0739695722207
1.57542,0,120,-18.8894739150548,-17.7280739517318
1.57542,0,130,-19.2497931342826,-20.077155299244
1.57542,0,140,-20.030937569854,-24.8889866479919
1.57542,0,150,-21.0834961479381,-34.6698691934599
1.57542,0,160,-22.9329392746556,-27.2972928354591
1.57542,0,170,-27.5002278933459,-27.0946341442684
1.57542,0,180,-26.0158508333515,-35.0237094541336
