"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-20.9449553965891,-40.4191137549101
1.57542,0,-170,-23.5403766266817,-57.9822126600628
1.57542,0,-160,-36.1567667960745,-32.8300583718831
1.57542,0,-150,-26.9004111493492,-29.4490182750379
1.57542,0,-140,-20.7081160263402,-27.9554139985348
1.57542,0,-130,-17.2773393449156,-23.7921921969371
1.57542,0,-120,-14.9383610369906,-20.2576556608617
1.57542,0,-110,-13.1964775698172,-17.8996318313182
1.57542,0,-100,-11.6677341660769,-16.2066706390205
1.57542,0,-90,-10.1197212687182,-14.9127287427171
1.57542,0,-80,-8.52715813573239,-13.9965237560998
1.57542,0,-70,-7.03642129583782,-13.5813673485745
1.57542,0,-60,-5.90130126769448,-13.8117064939316
1.57542,0,-50,-5.44205593238353,-14.3321781883475
1.57542,0,-40,-6.05335218282609,-13.1218357231757
1.57542,0,-30,-8.30017162336951,-9.64148147290774
1.57542,0,-20,-13.2549506057384,-6.34773401804014
1.57542,0,-10,-24.1304541056712,-4.25330249665574
1.57542,0,0,-46.869442510052,-3.53787066634582
1.57542,0,10,-24.4971566806802,-4.23248801671846
1.57542,0,20,-13.4124507055471,-6.32232017581391
1.57542,0,30,-8.36953407373244,-9.781153876826
1.57542,0,40,-6.0702296726933,-14.1590477898174
1.57542,0,50,-5.41604666749459,-16.5135683485471
1.57542,0,60,-5.83209452195998,-15.6886799559791
1.57542,0,70,-6.92100079769422,-15.0181426943998
1.57542,0,80,-8.36156590998873,-15.2231187361139
1.57542,0,90,-9.89834261532401,-16.0938470039919
1.57542,0,100,-11.383381956687,-17.4417810230925
1.57542,0,110,-12.8401074952397,-19.2392522331332
1.57542,0,120,-14.4925628969069,-21.7224906259992
1.57542,0,130,-16.7057672955748,-25.1931617832502
1.57542,0,140,-19.9605971265882,-27.6450846480302
1.57542,0,150,-25.8679386229671,-27.3803130937986
1.57542,0,160,-39.733720583259,-30.1343413700322
1.57542,0,170,-23.7958567028083,-44.385440047375
1.57542,0,180,-20.9449553965891,-40.4191137549101
