"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-20.9372689511187,-43.5546582329998
1.57542,0,-170,-23.6274437984625,-44.3788460668186
1.57542,0,-160,-36.0190438066427,-30.3287902386881
1.57542,0,-150,-26.4880740382159,-27.6613444859692
1.57542,0,-140,-20.5267609198084,-28.0452791254057
1.57542,0,-130,-17.0581633526092,-24.9899277659333
1.57542,0,-120,-14.6499394808906,-21.1805079374883
1.57542,0,-110,-12.874037820636,-18.6031355002431
1.57542,0,-100,-11.3458199311776,-16.8087388465613
1.57542,0,-90,-9.81272097712896,-15.5179311737698
1.57542,0,-80,-8.23109683688891,-14.7477569773737
1.57542,0,-70,-6.73869927432986,-14.726241416653
1.57542,0,-60,-5.58667719975507,-15.8594611401112
1.57542,0,-50,-5.09193958211322,-17.9835445622196
1.57542,0,-40,-5.64148375406625,-15.8919646938338
1.57542,0,-30,-7.7788933118119,-10.5011676386984
1.57542,0,-20,-12.4744426226725,-6.57429421649496
1.57542,0,-10,-22.0410731955309,-4.30653703050834
1.57542,0,0,-36.3639177628403,-3.5781811306
1.57542,0,10,-22.9160001359044,-4.3700458688003
1.57542,0,20,-12.9229556736234,-6.70714205073587
1.57542,0,30,-8.12936241728991,-10.6876935034491
1.57542,0,40,-5.93812337500352,-15.9667154267428
1.57542,0,50,-5.32662979068379,-17.7902583551535
1.57542,0,60,-5.73988520430692,-15.82025059943
1.57542,0,70,-6.79664449552442,-14.7927059791823
1.57542,0,80,-8.19242158317397,-14.862306686275
1.57542,0,90,-9.6874541138822,-15.6509157356659
1.57542,0,100,-11.1477609008213,-16.9288063244014
1.57542,0,110,-12.6080071719717,-18.6415425720305
1.57542,0,120,-14.3020340554723,-20.9604420161126
1.57542,0,130,-16.6093444932862,-24.0559924528221
1.57542,0,140,-20.0219529228878,-26.2802237476043
1.57542,0,150,-26.1721549401866,-26.3317160898813
1.57542,0,160,-40.8423715454903,-28.8751347273486
1.57542,0,170,-23.7557797056781,-39.6329045106276
1.57542,0,180,-20.9372689511187,-43.5546582329998
