"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-25.9661241482484,-36.4781101396663
1.57542,0,-170,-27.3642873361765,-53.273409733832
1.57542,0,-160,-27.7956724663676,-31.1433563601728
1.57542,0,-150,-27.9008531250315,-27.7014121273589
1.57542,0,-140,-29.5474821543016,-27.2790563701398
1.57542,0,-130,-27.8615200086142,-25.3789636115248
1.57542,0,-120,-24.3154106008107,-22.6468805599674
1.57542,0,-110,-21.7359657565503,-20.583710462439
1.57542,0,-100,-19.7751916550363,-19.0715906810431
1.57542,0,-90,-18.1073831306415,-17.902533148534
1.57542,0,-80,-16.7614215429987,-17.1296435427097
1.57542,0,-70,-16.0617214130537,-17.0759365499873
1.57542,0,-60,-16.7670890225616,-18.4323148605072
1.57542,0,-50,-21.3372372213901,-22.4163622597237
1.57542,0,-40,-27.6891484440346,-21.5945230337469
1.57542,0,-30,-12.527381616558,-14.4275126490456
1.57542,0,-20,-6.65508077058495,-10.3147024471661
1.57542,0,-10,-3.65009328381127,-8.33338086458943
1.57542,0,0,-2.63124952127907,-7.99277734539187
1.57542,0,10,-3.39088197060028,-9.19868312965628
1.57542,0,20,-5.9862502875026,-12.1462653270717
1.57542,0,30,-10.8832232209928,-17.758888904396
1.57542,0,40,-20.3393606883274,-31.8481054231493
1.57542,0,50,-26.9242811838279,-23.6493850545525
1.57542,0,60,-19.2163024226422,-18.8694304659208
1.57542,0,70,-17.5922164498345,-17.5074041452472
1.57542,0,80,-17.733597747699,-17.5493158320009
1.57542,0,90,-18.5636259059203,-18.3213429620734
1.57542,0,100,-19.6547114479072,-19.5274635026311
1.57542,0,110,-20.9667121772249,-21.1380563271664
1.57542,0,120,-22.8427508195472,-23.4833458869997
1.57542,0,130,-25.9694750778361,-27.3077415099686
1.57542,0,140,-31.3060411096057,-32.2918751824494
1.57542,0,150,-39.269406299301,-33.8887221964009
1.57542,0,160,-33.1010749677691,-38.8898064450281
1.57542,0,170,-27.3576834258881,-40.0166468592754
1.57542,0,180,-25.9661241482484,-36.4781101396662
