"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-27.820308605485,-35.5384372744942
1.57542,0,-170,-29.5475482446464,-37.9314561595545
1.57542,0,-160,-35.7216653475715,-39.4775508596879
1.57542,0,-150,-37.5093197372079,-32.7176347923622
1.57542,0,-140,-31.3947905848228,-29.548122058928
1.57542,0,-130,-26.7221136731999,-25.8720586985312
1.57542,0,-120,-23.6622636548907,-22.8764158509605
1.57542,0,-110,-21.7167864904607,-20.8278094670672
1.57542,0,-100,-20.3207465821891,-19.3193034214301
1.57542,0,-90,-19.1915158979289,-18.1541069776104
1.57542,0,-80,-18.4140974159312,-17.4235920918637
1.57542,0,-70,-18.4691269525252,-17.4640242854188
1.57542,0,-60,-20.6356930407514,-19.0038889644731
1.57542,0,-50,-32.5968151011109,-24.1936608824994
1.57542,0,-40,-19.3159957944757,-27.4679523391153
1.57542,0,-30,-10.649726197009,-16.57986795544
1.57542,0,-20,-5.97874319695426,-11.466476132446
1.57542,0,-10,-3.44112170216207,-8.7450042915227
1.57542,0,0,-2.65392001867758,-7.6893025970343
1.57542,0,10,-3.58289323028215,-8.14918125083077
1.57542,0,20,-6.42268639125748,-10.2196495722526
1.57542,0,30,-11.9491640634107,-14.393407759666
1.57542,0,40,-24.9032208908542,-22.3012011484217
1.57542,0,50,-22.1209206860366,-25.6780495709761
1.57542,0,60,-16.870313180157,-20.1063270752045
1.57542,0,70,-15.8987492197653,-18.3414064837809
1.57542,0,80,-16.4214508732798,-18.2775758414655
1.57542,0,90,-17.6254327222543,-19.0767880817837
1.57542,0,100,-19.1743797911279,-20.4043144288218
1.57542,0,110,-21.0463508183815,-22.230475151752
1.57542,0,120,-23.5726565538119,-24.8029642908799
1.57542,0,130,-27.2036162272277,-27.9497055635953
1.57542,0,140,-29.6575199414715,-28.4215469156526
1.57542,0,150,-28.262464278234,-27.3198671086908
1.57542,0,160,-28.2091891393858,-29.6731444720112
1.57542,0,170,-28.6248868054826,-38.0990462390692
1.57542,0,180,-27.820308605485,-35.5384372744942
