"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-46.4114555297024,-40.4749125573202
1.57542,0,-170,-45.1716190282265,-47.8079115205078
1.57542,0,-160,-32.1009940887806,-42.472182132133
1.57542,0,-150,-27.5645000500604,-34.9912016953137
1.57542,0,-140,-25.7658169282695,-29.8191873124808
1.57542,0,-130,-24.8800040762436,-25.696397194504
1.57542,0,-120,-24.0497920578206,-22.8829600481405
1.57542,0,-110,-23.0129772313976,-20.9138414226371
1.57542,0,-100,-21.748034633621,-19.3194863682685
1.57542,0,-90,-20.177269554498,-17.8635572514185
1.57542,0,-80,-18.0393697746812,-16.5287802001647
1.57542,0,-70,-15.0612758874818,-15.4483529832846
1.57542,0,-60,-11.3539209824569,-14.8507993868904
1.57542,0,-50,-7.4167766758212,-15.027022869398
1.57542,0,-40,-3.75265571643498,-16.3230067775663
1.57542,0,-30,-0.686009741886684,-19.1921995543402
1.57542,0,-20,1.6049081964994,-24.4490275319049
1.57542,0,-10,3.02280111848062,-34.3532694938948
1.57542,0,0,3.51260773250897,-46.9206420431541
1.57542,0,10,3.05137805665583,-39.3654911072669
1.57542,0,20,1.64950985042124,-26.5930061285753
1.57542,0,30,-0.646746514575371,-20.2142426696668
1.57542,0,40,-3.74141125525875,-16.7816254469761
1.57542,0,50,-7.4497752907716,-15.1859152851384
1.57542,0,60,-11.4332090845974,-14.8628695059448
1.57542,0,70,-15.1576725203825,-15.4132749216268
1.57542,0,80,-18.0750471120027,-16.5175510161966
1.57542,0,90,-20.0497810953341,-17.9320537631111
1.57542,0,100,-21.360544601758,-19.519833786056
1.57542,0,110,-22.269672287695,-21.3050729322643
1.57542,0,120,-22.8724744557427,-23.537490288604
1.57542,0,130,-23.2861457508876,-26.6972828616171
1.57542,0,140,-23.9592663934539,-31.1657232929531
1.57542,0,150,-25.8564271377526,-36.087150493679
1.57542,0,160,-30.6632746189854,-41.9409860122572
1.57542,0,170,-42.991069677354,-44.2470951167693
1.57542,0,180,-46.4114555297024,-40.4749125573202
