"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-28.1453479650012,-37.5720893887169
1.57542,0,-170,-31.5950724019947,-36.1844953021463
1.57542,0,-160,-36.2718876204394,-32.4265346173444
1.57542,0,-150,-35.6893273720849,-29.6853839698526
1.57542,0,-140,-32.772858768422,-28.243760433429
1.57542,0,-130,-27.0014127111568,-25.369944090506
1.57542,0,-120,-23.1044203065099,-22.6976855156403
1.57542,0,-110,-20.7182089599087,-20.8759087283421
1.57542,0,-100,-19.0407458082442,-19.5575687020108
1.57542,0,-90,-17.6994369559392,-18.5307995642867
1.57542,0,-80,-16.7282877106507,-17.8544612945397
1.57542,0,-70,-16.5297809027656,-17.8060258861648
1.57542,0,-60,-18.1313632443467,-18.9406293676759
1.57542,0,-50,-26.1246164670892,-22.442160620708
1.57542,0,-40,-20.8224562347442,-26.3509562670469
1.57542,0,-30,-10.6941647668921,-18.280047413878
1.57542,0,-20,-5.73349847378075,-12.9355477153117
1.57542,0,-10,-3.11446866839325,-10.0919469598693
1.57542,0,0,-2.29619175579187,-9.10493516220882
1.57542,0,10,-3.19099119760148,-9.80483956768203
1.57542,0,20,-5.97051652620084,-12.2247766943718
1.57542,0,30,-11.3678730636396,-16.7627172717726
1.57542,0,40,-23.0978724123327,-24.195885880449
1.57542,0,50,-21.1674680337492,-24.7144465868058
1.57542,0,60,-16.1767441940141,-20.9399797092951
1.57542,0,70,-15.1680256714298,-19.6847889326478
1.57542,0,80,-15.6324202730868,-19.8035593934257
1.57542,0,90,-16.798820981225,-20.6807532651167
1.57542,0,100,-18.3702129424977,-22.0447487910403
1.57542,0,110,-20.3741973383228,-23.8281657925375
1.57542,0,120,-23.2182591773213,-26.0193638682835
1.57542,0,130,-27.2834006746048,-27.7528690349252
1.57542,0,140,-28.1329033600448,-27.2208737171982
1.57542,0,150,-25.2576741974557,-26.8009904958437
1.57542,0,160,-24.7698510303689,-30.0438608712784
1.57542,0,170,-26.3158743297697,-45.6046589200184
1.57542,0,180,-28.1453479650012,-37.5720893887169
