"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
1.57542,0,-180,-28.0830781675793,-47.868635852733
1.57542,0,-170,-26.071781318771,-29.0384042974411
1.57542,0,-160,-21.4705864669881,-27.393729006838
1.57542,0,-150,-19.6007290651966,-31.6915190726019
1.57542,0,-140,-18.4104358762676,-24.8808370139502
1.57542,0,-130,-17.5349410380005,-20.2196897004074
1.57542,0,-120,-17.1149612567078,-17.8878122780017
1.57542,0,-110,-16.7993808173623,-16.2709466557389
1.57542,0,-100,-16.0483140477521,-14.7104457726499
1.57542,0,-90,-14.5011683099791,-13.0305525245098
1.57542,0,-80,-12.1519666607687,-11.2552036260113
1.57542,0,-70,-9.3163582443681,-9.51513270125894
1.57542,0,-60,-6.43414277153611,-8.01805860939428
1.57542,0,-50,-3.89313005807179,-7.00879847746286
1.57542,0,-40,-1.97685045599837,-6.70963974279029
1.57542,0,-30,-0.884715054996168,-7.20841534752461
1.57542,0,-20,-0.744819345700398,-8.18034634180358
1.57542,0,-10,-1.4885631199036,-8.53489146520776
1.57542,0,0,-2.38806367334948,-7.64879116577965
1.57542,0,10,-2.17542347878235,-6.62637928584452
1.57542,0,20,-1.19312254039434,-6.2946960562616
1.57542,0,30,-0.660380966081214,-6.75372172443166
1.57542,0,40,-0.997525523567859,-7.98284751763093
1.57542,0,50,-2.14176381197065,-9.97476754361116
1.57542,0,60,-3.87302757440834,-12.582752889778
1.57542,0,70,-5.9195381890301,-15.4304643615551
1.57542,0,80,-8.00967936262576,-18.0038163951159
1.57542,0,90,-9.91287727036257,-19.9509841504459
1.57542,0,100,-11.4773790452246,-21.2298718475392
1.57542,0,110,-12.6630723680941,-21.8514358631018
1.57542,0,120,-13.5848511173959,-21.8390299194845
1.57542,0,130,-14.6328190241534,-21.7569055847531
1.57542,0,140,-16.6191449445015,-22.7787528009362
1.57542,0,150,-20.6763805798514,-25.5649364394981
1.57542,0,160,-25.2974560492116,-27.2523173894929
1.57542,0,170,-25.1180445012255,-28.9281903665753
1.57542,0,180,-28.0830781675792,-47.8686358527329
