"Freq [GHz]","Phi [deg]","Theta [deg]","dB(AxialRatioValue) []"
1.5745,0,-180,31.5343312230117
1.5745,0,-170,2.98789702177391
1.5745,0,-160,7.84058592191762
1.5745,0,-150,26.4482399015418
1.5745,0,-140,11.7596134007814
1.5745,0,-130,7.38300965678764
1.5745,0,-120,7.20834032182745
1.5745,0,-110,7.53183335133251
1.5745,0,-100,7.37335985597435
1.5745,0,-90,6.77080285276629
1.5745,0,-80,5.916492238416
1.5745,0,-70,5.00653527886641
1.5745,0,-60,4.29362003735555
1.5745,0,-50,4.14399177401845
1.5745,0,-40,4.88623253927218
1.5745,0,-30,6.63579015053944
1.5745,0,-20,9.70619102461075
1.5745,0,-10,15.8381520649233
1.5745,0,0,30.3318385494726
1.5745,0,10,12.0461595065962
1.5745,0,20,6.05931955071629
1.5745,0,30,2.37919635032019
1.5745,0,40,1.96376735753118
1.5745,0,50,4.27517091366299
1.5745,0,60,6.60616083614572
1.5745,0,70,8.75948703265323
1.5745,0,80,10.7157602644939
1.5745,0,90,12.4308576938444
1.5745,0,100,13.7354851369899
1.5745,0,110,14.2535338879502
1.5745,0,120,13.6456083875115
1.5745,0,130,12.5090064624221
1.5745,0,140,13.5617155899539
1.5745,0,150,27.3960276221304
1.5745,0,160,11.8760847777067
1.5745,0,170,2.22100181779007
1.5745,0,180,31.5343312230113
