"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-25.7885061180009
1.57542,0,-170,-25.6568110123624
1.57542,0,-160,-20.7444104156839
1.57542,0,-150,-18.6102323570872
1.57542,0,-140,-16.4232855011165
1.57542,0,-130,-14.6419648675729
1.57542,0,-120,-13.5453770465775
1.57542,0,-110,-12.6303993855815
1.57542,0,-100,-11.4430762839641
1.57542,0,-90,-9.82428652871309
1.57542,0,-80,-7.82455028991913
1.57542,0,-70,-5.61706834142665
1.57542,0,-60,-3.4504027953846
1.57542,0,-50,-1.59218312429581
1.57542,0,-40,-0.280152503654817
1.57542,0,-30,0.29558819217789
1.57542,0,-20,0.015241803059628
1.57542,0,-10,-0.983993701858756
1.57542,0,0,-1.83748462790301
1.57542,0,10,-1.51844752638623
1.57542,0,20,-0.676016014306473
1.57542,0,30,-0.331856698178428
1.57542,0,40,-0.802930475589939
1.57542,0,50,-2.03857414014296
1.57542,0,60,-3.83392338749824
1.57542,0,70,-5.91657021836285
1.57542,0,80,-8.01838275710937
1.57542,0,90,-9.93729589761088
1.57542,0,100,-11.5663772627424
1.57542,0,110,-12.8769258901715
1.57542,0,120,-13.9213884583064
1.57542,0,130,-15.0433962505609
1.57542,0,140,-17.170162605795
1.57542,0,150,-21.1893203026615
1.57542,0,160,-22.3994367671093
1.57542,0,170,-21.4570618028796
1.57542,0,180,-25.7885061180009
