"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-27.7231199612612
1.57542,0,-170,-25.5826682869394
1.57542,0,-160,-20.8332441956046
1.57542,0,-150,-19.0874451489642
1.57542,0,-140,-17.0858786404336
1.57542,0,-130,-15.2282176263485
1.57542,0,-120,-14.0708038004591
1.57542,0,-110,-13.165905397022
1.57542,0,-100,-12.0209784426103
1.57542,0,-90,-10.4332261044608
1.57542,0,-80,-8.43084500092043
1.57542,0,-70,-6.1824751254287
1.57542,0,-60,-3.94224947666741
1.57542,0,-50,-1.9852774092274
1.57542,0,-40,-0.552229784944799
1.57542,0,-30,0.171883792886781
1.57542,0,-20,0.079489155049803
1.57542,0,-10,-0.692606313202913
1.57542,0,0,-1.36491662430474
1.57542,0,10,-1.0171393662458
1.57542,0,20,-0.193093961918552
1.57542,0,30,0.141056958740286
1.57542,0,40,-0.351852898424541
1.57542,0,50,-1.622468669524
1.57542,0,60,-3.44630752332331
1.57542,0,70,-5.52663529421488
1.57542,0,80,-7.57799682902066
1.57542,0,90,-9.3893343553794
1.57542,0,100,-10.8512489376354
1.57542,0,110,-11.950449117256
1.57542,0,120,-12.7787431980355
1.57542,0,130,-13.6770110571681
1.57542,0,140,-15.4533033443629
1.57542,0,150,-19.2277774298786
1.57542,0,160,-23.4073694673645
1.57542,0,170,-23.5248280668745
1.57542,0,180,-27.7231199612612
