"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-37.609691910881
1.57542,0,-170,-22.6772729038591
1.57542,0,-160,-19.8954950850923
1.57542,0,-150,-18.6384006721529
1.57542,0,-140,-16.6904784631291
1.57542,0,-130,-15.5014731415662
1.57542,0,-120,-15.190697972914
1.57542,0,-110,-15.0005030082499
1.57542,0,-100,-14.2862202023417
1.57542,0,-90,-12.83673543792
1.57542,0,-80,-10.7753111179871
1.57542,0,-70,-8.39412298264068
1.57542,0,-60,-6.05630938809911
1.57542,0,-50,-4.12685086953571
1.57542,0,-40,-2.94310756494158
1.57542,0,-30,-2.86262695223091
1.57542,0,-20,-4.47233325483843
1.57542,0,-10,-9.47050236839498
1.57542,0,0,-31.5478978078893
1.57542,0,10,-8.51101853021481
1.57542,0,20,-3.96282023390613
1.57542,0,30,-2.4769596631176
1.57542,0,40,-2.60767912137084
1.57542,0,50,-3.82707567765178
1.57542,0,60,-5.79183062299687
1.57542,0,70,-8.16327219941286
1.57542,0,80,-10.5740149032846
1.57542,0,90,-12.6603722999676
1.57542,0,100,-14.1306491291134
1.57542,0,110,-14.8721748727736
1.57542,0,120,-15.1179884014539
1.57542,0,130,-15.5194820963892
1.57542,0,140,-16.8291453834615
1.57542,0,150,-18.9768047980525
1.57542,0,160,-20.6759637995698
1.57542,0,170,-24.5173918873305
1.57542,0,180,-37.6096919108811
