"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-28.8667897937212
1.57542,0,-170,-30.6275545375984
1.57542,0,-160,-36.4194624870167
1.57542,0,-150,-33.3176878915456
1.57542,0,-140,-29.2224364172755
1.57542,0,-130,-24.3125691217517
1.57542,0,-120,-20.8639918296633
1.57542,0,-110,-18.7003949336688
1.57542,0,-100,-17.1911742142572
1.57542,0,-90,-16.0407998030841
1.57542,0,-80,-15.3108463151863
1.57542,0,-70,-15.4106581419477
1.57542,0,-60,-17.4349969688694
1.57542,0,-50,-26.7225859899426
1.57542,0,-40,-18.4182426009485
1.57542,0,-30,-9.29906951551351
1.57542,0,-20,-4.59946628147087
1.57542,0,-10,-2.06670077215678
1.57542,0,0,-1.22374269390838
1.57542,0,10,-1.98296453065191
1.57542,0,20,-4.47440524224905
1.57542,0,30,-9.26624761541746
1.57542,0,40,-18.8459099445158
1.57542,0,50,-22.4067755782545
1.57542,0,60,-15.8813417723348
1.57542,0,70,-14.3648442473982
1.57542,0,80,-14.5720499211998
1.57542,0,90,-15.594297134405
1.57542,0,100,-17.0876124877655
1.57542,0,110,-19.0165088038229
1.57542,0,120,-21.5862057100202
1.57542,0,130,-24.5651354297521
1.57542,0,140,-25.138801101162
1.57542,0,150,-24.1974781263753
1.57542,0,160,-26.0392858922089
1.57542,0,170,-30.1174793784309
1.57542,0,180,-28.8667897937212
