"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-21.5028742452941
1.57542,0,-170,-24.1792214901147
1.57542,0,-160,-27.2624672515955
1.57542,0,-150,-22.9981843783983
1.57542,0,-140,-19.8096245458546
1.57542,0,-130,-16.8170872180667
1.57542,0,-120,-14.3022818657306
1.57542,0,-110,-12.3932730715286
1.57542,0,-100,-10.7954336300407
1.57542,0,-90,-9.28830113546006
1.57542,0,-80,-7.84015540437302
1.57542,0,-70,-6.55759005348448
1.57542,0,-60,-5.60947261822535
1.57542,0,-50,-5.12751401491976
1.57542,0,-40,-5.02055661322425
1.57542,0,-30,-4.7014299931791
1.57542,0,-20,-3.51953741118783
1.57542,0,-10,-2.07198997070495
1.57542,0,0,-1.44227185268908
1.57542,0,10,-2.02824284218059
1.57542,0,20,-3.46078420118485
1.57542,0,30,-4.70022034565068
1.57542,0,40,-5.09788146434237
1.57542,0,50,-5.23371114128743
1.57542,0,60,-5.70750351467884
1.57542,0,70,-6.62718614333318
1.57542,0,80,-7.86706284664063
1.57542,0,90,-9.26294405539575
1.57542,0,100,-10.7120777513924
1.57542,0,110,-12.2496378281861
1.57542,0,120,-14.1070773891614
1.57542,0,130,-16.6219673448606
1.57542,0,140,-19.7765919924643
1.57542,0,150,-23.2236143817722
1.57542,0,160,-27.1164864487845
1.57542,0,170,-23.8509363440946
1.57542,0,180,-21.5028742452941
