"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-25.8721865363149
1.57542,0,-170,-26.5764214038203
1.57542,0,-160,-30.0407020041834
1.57542,0,-150,-29.8900923267643
1.57542,0,-140,-27.4899265756512
1.57542,0,-130,-23.6884279445692
1.57542,0,-120,-20.509360740549
1.57542,0,-110,-18.3491906937444
1.57542,0,-100,-16.7824980858825
1.57542,0,-90,-15.5732311797972
1.57542,0,-80,-14.7957306608824
1.57542,0,-70,-14.8395552258737
1.57542,0,-60,-16.69121414459
1.57542,0,-50,-24.1431447522778
1.57542,0,-40,-18.5687476441389
1.57542,0,-30,-9.43735750327504
1.57542,0,-20,-4.72134980908198
1.57542,0,-10,-2.2044857502161
1.57542,0,0,-1.40116120772072
1.57542,0,10,-2.22619641632778
1.57542,0,20,-4.82466350929833
1.57542,0,30,-9.82696252580886
1.57542,0,40,-19.9984451654125
1.57542,0,50,-20.9281795076012
1.57542,0,60,-15.3942978043429
1.57542,0,70,-14.1303320979941
1.57542,0,80,-14.4370349943358
1.57542,0,90,-15.4741313007072
1.57542,0,100,-16.9039242759235
1.57542,0,110,-18.7001081064911
1.57542,0,120,-21.1286180207312
1.57542,0,130,-24.2645460549823
1.57542,0,140,-25.7025828029573
1.57542,0,150,-25.2714883498925
1.57542,0,160,-27.7162823011028
1.57542,0,170,-29.4767845319243
1.57542,0,180,-25.8721865363149
