"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-26.4493195573763
1.57542,0,-170,-24.1473168362808
1.57542,0,-160,-20.0833777904739
1.57542,0,-150,-18.6717377381258
1.57542,0,-140,-16.8431714700018
1.57542,0,-130,-15.0694253962715
1.57542,0,-120,-13.9382002118146
1.57542,0,-110,-13.0029480536138
1.57542,0,-100,-11.7879849223616
1.57542,0,-90,-10.1206577199573
1.57542,0,-80,-8.05681009708039
1.57542,0,-70,-5.77963580895977
1.57542,0,-60,-3.54609886915516
1.57542,0,-50,-1.63522309819268
1.57542,0,-40,-0.298024204844303
1.57542,0,-30,0.2760162847416
1.57542,0,-20,-0.00113928224478962
1.57542,0,-10,-0.934776997588956
1.57542,0,0,-1.65695927033343
1.57542,0,10,-1.29997266231043
1.57542,0,20,-0.541501155399369
1.57542,0,30,-0.300450480536722
1.57542,0,40,-0.85161962368692
1.57542,0,50,-2.13920779180735
1.57542,0,60,-3.96182474088018
1.57542,0,70,-6.04627587080067
1.57542,0,80,-8.11955577276232
1.57542,0,90,-9.97869559159842
1.57542,0,100,-11.5228433240611
1.57542,0,110,-12.7312221902422
1.57542,0,120,-13.6654602244887
1.57542,0,130,-14.6852808143826
1.57542,0,140,-16.7344338902133
1.57542,0,150,-20.8958101190959
1.57542,0,160,-23.083210796349
1.57542,0,170,-22.2912091735193
1.57542,0,180,-26.4493195573763
