"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-28.0236373144712
1.57542,0,-170,-30.421705808207
1.57542,0,-160,-34.2280681725029
1.57542,0,-150,-31.1294528283499
1.57542,0,-140,-27.5501520584539
1.57542,0,-130,-23.0459256773891
1.57542,0,-120,-19.7921487207391
1.57542,0,-110,-17.7055103723081
1.57542,0,-100,-16.2056117149491
1.57542,0,-90,-15.0019448030678
1.57542,0,-80,-14.1370379663106
1.57542,0,-70,-13.9525107789542
1.57542,0,-60,-15.2469729986094
1.57542,0,-50,-20.4774588156075
1.57542,0,-40,-21.0283114279563
1.57542,0,-30,-10.3971972541414
1.57542,0,-20,-5.16801503751355
1.57542,0,-10,-2.40261869152778
1.57542,0,0,-1.46860325676822
1.57542,0,10,-2.239895910013
1.57542,0,20,-4.84239188637003
1.57542,0,30,-9.88573528844956
1.57542,0,40,-20.0150929504074
1.57542,0,50,-20.6583012653963
1.57542,0,60,-15.344087663379
1.57542,0,70,-14.0960097528187
1.57542,0,80,-14.3864306556222
1.57542,0,90,-15.4169666995542
1.57542,0,100,-16.8881096052245
1.57542,0,110,-18.8262791759546
1.57542,0,120,-21.5872375217892
1.57542,0,130,-25.2204943570231
1.57542,0,140,-25.8566411482793
1.57542,0,150,-24.1980295766279
1.57542,0,160,-25.3642201940852
1.57542,0,170,-28.2292782807859
1.57542,0,180,-28.0236373144712
