"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-43.4109396903996
1.57542,0,-170,-23.3116562507979
1.57542,0,-160,-20.332022069553
1.57542,0,-150,-18.9794224836184
1.57542,0,-140,-16.7522410884925
1.57542,0,-130,-15.3843033820528
1.57542,0,-120,-14.983814435359
1.57542,0,-110,-14.7470549944791
1.57542,0,-100,-14.0013991931061
1.57542,0,-90,-12.5289412745576
1.57542,0,-80,-10.4592464040765
1.57542,0,-70,-8.08444842933875
1.57542,0,-60,-5.75871460374603
1.57542,0,-50,-3.83553010751944
1.57542,0,-40,-2.64299332236384
1.57542,0,-30,-2.53106160018882
1.57542,0,-20,-4.06740974949318
1.57542,0,-10,-8.83834101087078
1.57542,0,0,-41.9954720925841
1.57542,0,10,-8.78690239544927
1.57542,0,20,-4.0344500240429
1.57542,0,30,-2.49535393547907
1.57542,0,40,-2.60655233844604
1.57542,0,50,-3.81108583886263
1.57542,0,60,-5.75659515590739
1.57542,0,70,-8.1030139978888
1.57542,0,80,-10.486461834341
1.57542,0,90,-12.5529997997733
1.57542,0,100,-14.0200061121537
1.57542,0,110,-14.7695571826512
1.57542,0,120,-15.0253206131955
1.57542,0,130,-15.4467637040223
1.57542,0,140,-16.7769131392398
1.57542,0,150,-18.7827729727048
1.57542,0,160,-20.0460387093946
1.57542,0,170,-23.373455230685
1.57542,0,180,-43.4109396903996
