"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-29.1888561752681
1.57542,0,-170,-31.5166989137531
1.57542,0,-160,-35.3757258747158
1.57542,0,-150,-31.8867306353175
1.57542,0,-140,-27.4233901509043
1.57542,0,-130,-22.7726569792954
1.57542,0,-120,-19.648312453881
1.57542,0,-110,-17.6923024506172
1.57542,0,-100,-16.3001893886028
1.57542,0,-90,-15.1758082129198
1.57542,0,-80,-14.3555379623872
1.57542,0,-70,-14.1745055865896
1.57542,0,-60,-15.4039882502109
1.57542,0,-50,-20.0882634022368
1.57542,0,-40,-19.7182443104207
1.57542,0,-30,-10.1980114470066
1.57542,0,-20,-5.09196206048274
1.57542,0,-10,-2.37540033892451
1.57542,0,0,-1.49376503992817
1.57542,0,10,-2.34072681258802
1.57542,0,20,-5.06102091628897
1.57542,0,30,-10.3267411269716
1.57542,0,40,-21.0274992449568
1.57542,0,50,-19.5537052015828
1.57542,0,60,-14.7945295130955
1.57542,0,70,-13.6858793325903
1.57542,0,80,-14.0164362293192
1.57542,0,90,-15.0387782339384
1.57542,0,100,-16.4425465082072
1.57542,0,110,-18.2107357997581
1.57542,0,120,-20.6322350642217
1.57542,0,130,-23.9020640617082
1.57542,0,140,-25.5368378922472
1.57542,0,150,-24.5063147582374
1.57542,0,160,-25.6090394983215
1.57542,0,170,-28.8614530744003
1.57542,0,180,-29.1888561752681
