"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-22.080469744677
1.57542,0,-170,-25.5871678973567
1.57542,0,-160,-27.7203755016484
1.57542,0,-150,-22.3288801965357
1.57542,0,-140,-19.6048133101647
1.57542,0,-130,-16.8983136224071
1.57542,0,-120,-14.4460344366057
1.57542,0,-110,-12.5815924535878
1.57542,0,-100,-11.048354167286
1.57542,0,-90,-9.61136114656133
1.57542,0,-80,-8.22441973074067
1.57542,0,-70,-6.9839428540031
1.57542,0,-60,-6.0413644361814
1.57542,0,-50,-5.47397508236245
1.57542,0,-40,-5.05500119458985
1.57542,0,-30,-4.1513168669706
1.57542,0,-20,-2.55502592181658
1.57542,0,-10,-1.06391368982285
1.57542,0,0,-0.456963257913461
1.57542,0,10,-0.977028743017587
1.57542,0,20,-2.37479657491928
1.57542,0,30,-3.92786597603742
1.57542,0,40,-4.90187686285089
1.57542,0,50,-5.41797260093984
1.57542,0,60,-6.03467740101002
1.57542,0,70,-6.98811057716463
1.57542,0,80,-8.22350170720206
1.57542,0,90,-9.60456604906447
1.57542,0,100,-11.0444383743505
1.57542,0,110,-12.5951532846695
1.57542,0,120,-14.491229506918
1.57542,0,130,-16.9700850962973
1.57542,0,140,-19.6586707345591
1.57542,0,150,-22.3683508046804
1.57542,0,160,-27.2935058634996
1.57542,0,170,-24.8538382465555
1.57542,0,180,-22.080469744677
