"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-25.573799640054
1.57542,0,-170,-26.2502595525413
1.57542,0,-160,-24.730468960446
1.57542,0,-150,-23.7811806742289
1.57542,0,-140,-24.5747405590842
1.57542,0,-130,-23.0181036058755
1.57542,0,-120,-20.009376458995
1.57542,0,-110,-17.7340430615567
1.57542,0,-100,-16.0294420333444
1.57542,0,-90,-14.6249338184796
1.57542,0,-80,-13.5422486517246
1.57542,0,-70,-13.0710792196982
1.57542,0,-60,-13.8491436258929
1.57542,0,-50,-17.3816833538187
1.57542,0,-40,-20.4564364563583
1.57542,0,-30,-10.942505044409
1.57542,0,-20,-5.5188771327191
1.57542,0,-10,-2.7135097683669
1.57542,0,0,-1.84394815841152
1.57542,0,10,-2.77366530907702
1.57542,0,20,-5.662403701821
1.57542,0,30,-11.2997078294442
1.57542,0,40,-22.6901623869495
1.57542,0,50,-17.9532951982072
1.57542,0,60,-13.956479139731
1.57542,0,70,-13.020208434871
1.57542,0,80,-13.3438794481051
1.57542,0,90,-14.2480868463738
1.57542,0,100,-15.4311648790023
1.57542,0,110,-16.8744335228234
1.57542,0,120,-18.8678340524405
1.57542,0,130,-21.8877099171326
1.57542,0,140,-25.7208582548662
1.57542,0,150,-28.6870722254991
1.57542,0,160,-30.947947233191
1.57542,0,170,-27.6173396630624
1.57542,0,180,-25.573799640054
