"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-29.2881149792431
1.57542,0,-170,-29.5592998252838
1.57542,0,-160,-26.7341619520005
1.57542,0,-150,-23.8645191081659
1.57542,0,-140,-22.9889917461327
1.57542,0,-130,-22.5986240938387
1.57542,0,-120,-21.6912218957186
1.57542,0,-110,-20.4379805813998
1.57542,0,-100,-19.0592312480582
1.57542,0,-90,-17.5384974663829
1.57542,0,-80,-15.7341408525032
1.57542,0,-70,-13.3883340852178
1.57542,0,-60,-10.3178286760121
1.57542,0,-50,-6.76215250069715
1.57542,0,-40,-3.27006591670416
1.57542,0,-30,-0.296883587964234
1.57542,0,-20,1.91622186235762
1.57542,0,-10,3.26931246255193
1.57542,0,0,3.72508135223411
1.57542,0,10,3.27309783635848
1.57542,0,20,1.92426342930133
1.57542,0,30,-0.28211889542887
1.57542,0,40,-3.24579088879006
1.57542,0,50,-6.72891954633354
1.57542,0,60,-10.2792326276528
1.57542,0,70,-13.3504768235916
1.57542,0,80,-15.7095775356917
1.57542,0,90,-17.540477416777
1.57542,0,100,-19.0884852388261
1.57542,0,110,-20.4651771613742
1.57542,0,120,-21.6177240662309
1.57542,0,130,-22.2346688895976
1.57542,0,140,-22.234041626033
1.57542,0,150,-22.8115028344315
1.57542,0,160,-25.6181742006372
1.57542,0,170,-29.6048518885251
1.57542,0,180,-29.2881149792431
