"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-26.6615304789274
1.57542,0,-170,-22.4293206570274
1.57542,0,-160,-21.1351704170056
1.57542,0,-150,-18.3497825562164
1.57542,0,-140,-15.1357031444633
1.57542,0,-130,-13.4419916892266
1.57542,0,-120,-12.6180654999439
1.57542,0,-110,-11.8468230662265
1.57542,0,-100,-10.714615398027
1.57542,0,-90,-9.14507373836127
1.57542,0,-80,-7.21252490496045
1.57542,0,-70,-5.07980677201905
1.57542,0,-60,-2.98437555004565
1.57542,0,-50,-1.20477336007545
1.57542,0,-40,-0.00943137687008555
1.57542,0,-30,0.399512115053566
1.57542,0,-20,-0.0335526480506356
1.57542,0,-10,-0.995978127188972
1.57542,0,0,-1.51460694028113
1.57542,0,10,-1.00734155512239
1.57542,0,20,-0.372067604647526
1.57542,0,30,-0.366318432185269
1.57542,0,40,-1.13074970682517
1.57542,0,50,-2.58582959255248
1.57542,0,60,-4.56432887066412
1.57542,0,70,-6.82322180287701
1.57542,0,80,-9.08612672007276
1.57542,0,90,-11.1191423157276
1.57542,0,100,-12.7902805560972
1.57542,0,110,-14.0926449309201
1.57542,0,120,-15.2130223853307
1.57542,0,130,-16.6699535004633
1.57542,0,140,-19.0844290377059
1.57542,0,150,-21.3248661116151
1.57542,0,160,-21.5085255955701
1.57542,0,170,-23.9963909967944
1.57542,0,180,-26.6615304789274
