"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-35.2098051774024
1.57542,0,-170,-22.1606948372077
1.57542,0,-160,-19.6914281490643
1.57542,0,-150,-18.7383820128139
1.57542,0,-140,-16.6885941405778
1.57542,0,-130,-15.3023922901664
1.57542,0,-120,-14.8452566656488
1.57542,0,-110,-14.5493580835019
1.57542,0,-100,-13.7649781736281
1.57542,0,-90,-12.2795694439391
1.57542,0,-80,-10.2064890844493
1.57542,0,-70,-7.82391590321197
1.57542,0,-60,-5.48403734056038
1.57542,0,-50,-3.54677427501139
1.57542,0,-40,-2.34667447243726
1.57542,0,-30,-2.22805083180849
1.57542,0,-20,-3.72681430213537
1.57542,0,-10,-8.29906568243281
1.57542,0,0,-26.6922772467638
1.57542,0,10,-9.08820775081914
1.57542,0,20,-4.18567670757651
1.57542,0,30,-2.57979343326086
1.57542,0,40,-2.63244288189542
1.57542,0,50,-3.77737576104165
1.57542,0,60,-5.66557736422713
1.57542,0,70,-7.96129589860258
1.57542,0,80,-10.3057104827987
1.57542,0,90,-12.3570376792192
1.57542,0,100,-13.8559492153402
1.57542,0,110,-14.6888299251489
1.57542,0,120,-15.0187756941021
1.57542,0,130,-15.4411980980304
1.57542,0,140,-16.7540432221311
1.57542,0,150,-19.0136552903289
1.57542,0,160,-20.8624294795189
1.57542,0,170,-24.7562028398829
1.57542,0,180,-35.2098051774024
