"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-26.1227340577131
1.57542,0,-170,-25.2331839488648
1.57542,0,-160,-21.5841412506923
1.57542,0,-150,-19.9735906166389
1.57542,0,-140,-17.9131512529659
1.57542,0,-130,-16.087662440793
1.57542,0,-120,-14.977929449963
1.57542,0,-110,-14.0829993254252
1.57542,0,-100,-12.9242306428082
1.57542,0,-90,-11.3275858656375
1.57542,0,-80,-9.32785896033075
1.57542,0,-70,-7.07973372033739
1.57542,0,-60,-4.81732775228213
1.57542,0,-50,-2.79841502128587
1.57542,0,-40,-1.25263231748879
1.57542,0,-30,-0.368151657777514
1.57542,0,-20,-0.280154110336202
1.57542,0,-10,-0.895662577459296
1.57542,0,0,-1.42293046581755
1.57542,0,10,-0.838432427206234
1.57542,0,20,0.242476515064042
1.57542,0,30,0.756873770739075
1.57542,0,40,0.383493466043213
1.57542,0,50,-0.800062808842384
1.57542,0,60,-2.56760205533883
1.57542,0,70,-4.63432236188136
1.57542,0,80,-6.7167136409911
1.57542,0,90,-8.58597123407498
1.57542,0,100,-10.1057059447109
1.57542,0,110,-11.2471842684103
1.57542,0,120,-12.1162242365671
1.57542,0,130,-13.0789454547898
1.57542,0,140,-14.9108512969474
1.57542,0,150,-18.5854374370083
1.57542,0,160,-22.6089531961515
1.57542,0,170,-23.0522574457071
1.57542,0,180,-26.1227340577131
