"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-26.8900920901293
1.57542,0,-170,-23.1575497782094
1.57542,0,-160,-23.0404367066212
1.57542,0,-150,-19.6119264292223
1.57542,0,-140,-15.6960196202432
1.57542,0,-130,-13.7530967254166
1.57542,0,-120,-12.8001888001155
1.57542,0,-110,-11.9786342655573
1.57542,0,-100,-10.871712263394
1.57542,0,-90,-9.35590705568432
1.57542,0,-80,-7.4538792773299
1.57542,0,-70,-5.30365065845441
1.57542,0,-60,-3.14527096051615
1.57542,0,-50,-1.27635032662163
1.57542,0,-40,0.0124997242844321
1.57542,0,-30,0.506255064207238
1.57542,0,-20,0.155119097714922
1.57542,0,-10,-0.714049417794385
1.57542,0,0,-1.16298401845093
1.57542,0,10,-0.663959906521585
1.57542,0,20,-0.0742707935248413
1.57542,0,30,-0.120292363981174
1.57542,0,40,-0.930076578970464
1.57542,0,50,-2.41267289939738
1.57542,0,60,-4.40234045525307
1.57542,0,70,-6.66867894256367
1.57542,0,80,-8.94394464390478
1.57542,0,90,-10.9861769441183
1.57542,0,100,-12.6382233681639
1.57542,0,110,-13.8591636647663
1.57542,0,120,-14.7982699833557
1.57542,0,130,-15.9071049777554
1.57542,0,140,-17.6707653135546
1.57542,0,150,-19.517510410776
1.57542,0,160,-20.7588337894584
1.57542,0,170,-24.3041705251935
1.57542,0,180,-26.8900920901293
