"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-44.6908921801097
1.57542,0,-170,-22.6585927301876
1.57542,0,-160,-19.5762337383107
1.57542,0,-150,-18.6220016382912
1.57542,0,-140,-16.8434848641061
1.57542,0,-130,-15.573163388292
1.57542,0,-120,-15.1458406764895
1.57542,0,-110,-14.8516787469708
1.57542,0,-100,-14.0598535587541
1.57542,0,-90,-12.5652193969129
1.57542,0,-80,-10.4815083863145
1.57542,0,-70,-8.08341725633513
1.57542,0,-60,-5.7258040236334
1.57542,0,-50,-3.78330333606492
1.57542,0,-40,-2.60977071093113
1.57542,0,-30,-2.55883231554109
1.57542,0,-20,-4.16664531923542
1.57542,0,-10,-8.97135065678763
1.57542,0,0,-37.2092529893721
1.57542,0,10,-8.94367548555111
1.57542,0,20,-4.13822138411172
1.57542,0,30,-2.54801623928582
1.57542,0,40,-2.61337534069526
1.57542,0,50,-3.77782156510381
1.57542,0,60,-5.68916874273989
1.57542,0,70,-8.01024856540307
1.57542,0,80,-10.3792446380076
1.57542,0,90,-12.440339406237
1.57542,0,100,-13.9110565494728
1.57542,0,110,-14.6715010058675
1.57542,0,120,-14.9176438689363
1.57542,0,130,-15.2680324479627
1.57542,0,140,-16.4413835641616
1.57542,0,150,-18.2667251978982
1.57542,0,160,-19.5680672876368
1.57542,0,170,-22.9715473933461
1.57542,0,180,-44.6908921801097
