"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-27.6573630222101
1.57542,0,-170,-29.7567747727652
1.57542,0,-160,-25.9958586128247
1.57542,0,-150,-24.1714163375222
1.57542,0,-140,-25.2824561447327
1.57542,0,-130,-24.5898290694115
1.57542,0,-120,-21.4429755754726
1.57542,0,-110,-18.9181374048754
1.57542,0,-100,-17.0807484120886
1.57542,0,-90,-15.6372169565681
1.57542,0,-80,-14.5941058536075
1.57542,0,-70,-14.2985342345063
1.57542,0,-60,-15.6574828533275
1.57542,0,-50,-21.7956574691209
1.57542,0,-40,-19.1501144917255
1.57542,0,-30,-9.3046994503411
1.57542,0,-20,-4.44928557103341
1.57542,0,-10,-1.94174766290451
1.57542,0,0,-1.17439534531588
1.57542,0,10,-1.99641237087436
1.57542,0,20,-4.46974490424338
1.57542,0,30,-8.98836822601073
1.57542,0,40,-17.0928039227648
1.57542,0,50,-24.0239153371447
1.57542,0,60,-17.3967388458004
1.57542,0,70,-15.4449171291605
1.57542,0,80,-15.3397288653687
1.57542,0,90,-16.0727243939629
1.57542,0,100,-17.2442249797192
1.57542,0,110,-18.7927186362199
1.57542,0,120,-21.0133606302513
1.57542,0,130,-24.4827843927369
1.57542,0,140,-28.7554248021886
1.57542,0,150,-30.5007283597208
1.57542,0,160,-30.8474491155484
1.57542,0,170,-28.2543221718292
1.57542,0,180,-27.6573630222101
