"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-35.5636074819118
1.57542,0,-170,-34.607806827737
1.57542,0,-160,-29.2488354780455
1.57542,0,-150,-25.0436577273408
1.57542,0,-140,-22.3732567496963
1.57542,0,-130,-20.3754235182626
1.57542,0,-120,-18.7719004935048
1.57542,0,-110,-17.4092364561279
1.57542,0,-100,-16.1092264665504
1.57542,0,-90,-14.7339353755663
1.57542,0,-80,-13.1874338029508
1.57542,0,-70,-11.356609147435
1.57542,0,-60,-9.08458301515315
1.57542,0,-50,-6.32205549252123
1.57542,0,-40,-3.33582139503805
1.57542,0,-30,-0.579621699219452
1.57542,0,-20,1.58125810221125
1.57542,0,-10,2.9405067958831
1.57542,0,0,3.39959129233071
1.57542,0,10,2.92563303733051
1.57542,0,20,1.54051151874124
1.57542,0,30,-0.664102895537444
1.57542,0,40,-3.47962164043721
1.57542,0,50,-6.52955987149819
1.57542,0,60,-9.34970957250009
1.57542,0,70,-11.6708695662097
1.57542,0,80,-13.5478231219144
1.57542,0,90,-15.1557769771268
1.57542,0,100,-16.639480334588
1.57542,0,110,-18.1285060630474
1.57542,0,120,-19.7749262977622
1.57542,0,130,-21.6985926289443
1.57542,0,140,-23.8104086225932
1.57542,0,150,-26.0974093100811
1.57542,0,160,-29.6011573758556
1.57542,0,170,-34.5255189660684
1.57542,0,180,-35.5636074819118
