"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-27.4434360897187
1.57542,0,-170,-29.0206959179695
1.57542,0,-160,-25.9709114809956
1.57542,0,-150,-24.2426656738078
1.57542,0,-140,-24.7670897368601
1.57542,0,-130,-23.5654665713716
1.57542,0,-120,-20.8254371739392
1.57542,0,-110,-18.5837452584112
1.57542,0,-100,-16.8481450095107
1.57542,0,-90,-15.4359166714443
1.57542,0,-80,-14.4175354716812
1.57542,0,-70,-14.133922781889
1.57542,0,-60,-15.3959706874897
1.57542,0,-50,-20.8387308683768
1.57542,0,-40,-20.7627185614346
1.57542,0,-30,-10.210768438876
1.57542,0,-20,-5.11414505615163
1.57542,0,-10,-2.48472298839204
1.57542,0,0,-1.68876705769681
1.57542,0,10,-2.60502781949353
1.57542,0,20,-5.37457064983976
1.57542,0,30,-10.6906839036138
1.57542,0,40,-22.3516001537904
1.57542,0,50,-20.6906555686936
1.57542,0,60,-15.2106480233261
1.57542,0,70,-13.8977348127655
1.57542,0,80,-14.0738742381156
1.57542,0,90,-14.932388549705
1.57542,0,100,-16.1297609096682
1.57542,0,110,-17.6181481251367
1.57542,0,120,-19.6698645842529
1.57542,0,130,-22.789229382315
1.57542,0,140,-26.9621655253098
1.57542,0,150,-30.7242492128021
1.57542,0,160,-33.1114449220107
1.57542,0,170,-28.8417050627405
1.57542,0,180,-27.4434360897187
