"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-26.5671951756128
1.57542,0,-170,-26.6373485203562
1.57542,0,-160,-24.8842490946743
1.57542,0,-150,-23.8794941237983
1.57542,0,-140,-24.6570706263076
1.57542,0,-130,-23.6147848234661
1.57542,0,-120,-20.8263418390814
1.57542,0,-110,-18.5289896081034
1.57542,0,-100,-16.7673242206615
1.57542,0,-90,-15.3269337774516
1.57542,0,-80,-14.2553876618171
1.57542,0,-70,-13.8905685345273
1.57542,0,-60,-15.0378657125779
1.57542,0,-50,-20.0600017010723
1.57542,0,-40,-19.5516381572274
1.57542,0,-30,-9.65654582282649
1.57542,0,-20,-4.64117201397212
1.57542,0,-10,-2.03768009904493
1.57542,0,0,-1.23558592664926
1.57542,0,10,-2.10877459452092
1.57542,0,20,-4.76733218415041
1.57542,0,30,-9.75905399085415
1.57542,0,40,-19.5799194267719
1.57542,0,50,-21.996677803297
1.57542,0,60,-15.9650627497304
1.57542,0,70,-14.4764178223612
1.57542,0,80,-14.6052954833236
1.57542,0,90,-15.4797613768737
1.57542,0,100,-16.7547209976782
1.57542,0,110,-18.4124513124064
1.57542,0,120,-20.8105327713463
1.57542,0,130,-24.7010574520641
1.57542,0,140,-29.96962771974
1.57542,0,150,-31.8084197107112
1.57542,0,160,-32.6389608633058
1.57542,0,170,-28.9893281637583
1.57542,0,180,-26.5671951756128
