"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-25.0974045152571
1.57542,0,-170,-21.423795000347
1.57542,0,-160,-22.5125152287957
1.57542,0,-150,-20.1648432217029
1.57542,0,-140,-16.2877859276664
1.57542,0,-130,-14.3273404647067
1.57542,0,-120,-13.277796723353
1.57542,0,-110,-12.3339915360991
1.57542,0,-100,-11.1635598279448
1.57542,0,-90,-9.65140491806442
1.57542,0,-80,-7.79039685899386
1.57542,0,-70,-5.69729230731785
1.57542,0,-60,-3.60477403941209
1.57542,0,-50,-1.80566904893653
1.57542,0,-40,-0.577980873457201
1.57542,0,-30,-0.113453182407574
1.57542,0,-20,-0.433980994680341
1.57542,0,-10,-1.19144888128677
1.57542,0,0,-1.43610856416029
1.57542,0,10,-0.678504330038998
1.57542,0,20,0.148385633923054
1.57542,0,30,0.290615546643605
1.57542,0,40,-0.375802791972045
1.57542,0,50,-1.74627556837096
1.57542,0,60,-3.64666098803783
1.57542,0,70,-5.84586362083264
1.57542,0,80,-8.07223515210441
1.57542,0,90,-10.0702237436624
1.57542,0,100,-11.6724450797698
1.57542,0,110,-12.85953550351
1.57542,0,120,-13.8276641810023
1.57542,0,130,-15.0007077499549
1.57542,0,140,-16.6821036562864
1.57542,0,150,-18.3948913192399
1.57542,0,160,-20.402660689703
1.57542,0,170,-25.8203985197247
1.57542,0,180,-25.0974045152571
