"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-21.6130599212165
1.57542,0,-170,-24.3270646505738
1.57542,0,-160,-28.9243158644517
1.57542,0,-150,-23.6649244437328
1.57542,0,-140,-20.4556982371344
1.57542,0,-130,-17.5420896289171
1.57542,0,-120,-14.9717110396655
1.57542,0,-110,-13.0067203092726
1.57542,0,-100,-11.3939633839869
1.57542,0,-90,-9.91047310850561
1.57542,0,-80,-8.51421410245268
1.57542,0,-70,-7.29643818524873
1.57542,0,-60,-6.39388870289547
1.57542,0,-50,-5.84747245585138
1.57542,0,-40,-5.35738818168608
1.57542,0,-30,-4.28007091542152
1.57542,0,-20,-2.56169378986337
1.57542,0,-10,-1.03495080227704
1.57542,0,0,-0.410202535060983
1.57542,0,10,-0.907946088723927
1.57542,0,20,-2.28359197693839
1.57542,0,30,-3.82353987136095
1.57542,0,40,-4.79769138025886
1.57542,0,50,-5.31877896892745
1.57542,0,60,-5.942121748506
1.57542,0,70,-6.91012701134792
1.57542,0,80,-8.17177851532261
1.57542,0,90,-9.58901182927425
1.57542,0,100,-11.0700288003398
1.57542,0,110,-12.6560060048961
1.57542,0,120,-14.5579734941734
1.57542,0,130,-16.9904944902621
1.57542,0,140,-19.6498460910633
1.57542,0,150,-22.4897987847229
1.57542,0,160,-27.7407925918325
1.57542,0,170,-24.8549347435705
1.57542,0,180,-21.6130599212165
