"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-27.1624476500857
1.57542,0,-170,-22.9667662883143
1.57542,0,-160,-23.7154828932826
1.57542,0,-150,-20.5970577652011
1.57542,0,-140,-16.4925814626176
1.57542,0,-130,-14.4967632622022
1.57542,0,-120,-13.4341703886305
1.57542,0,-110,-12.4456074536221
1.57542,0,-100,-11.215436251562
1.57542,0,-90,-9.67386150908037
1.57542,0,-80,-7.82912089373755
1.57542,0,-70,-5.77712737736255
1.57542,0,-60,-3.71848737586914
1.57542,0,-50,-1.92841699271065
1.57542,0,-40,-0.687476232746599
1.57542,0,-30,-0.20004732197509
1.57542,0,-20,-0.50633249462196
1.57542,0,-10,-1.28826696253958
1.57542,0,0,-1.60063098184666
1.57542,0,10,-0.861402425797541
1.57542,0,20,0.0213447680930651
1.57542,0,30,0.239599196930485
1.57542,0,40,-0.368324136072469
1.57542,0,50,-1.71373320342861
1.57542,0,60,-3.62002537474107
1.57542,0,70,-5.84593973104016
1.57542,0,80,-8.11164870152031
1.57542,0,90,-10.1534113113191
1.57542,0,100,-11.7892196467981
1.57542,0,110,-12.9898741338282
1.57542,0,120,-13.977778350348
1.57542,0,130,-15.2524785232981
1.57542,0,140,-17.1845813702564
1.57542,0,150,-18.958401662862
1.57542,0,160,-20.2880110431478
1.57542,0,170,-24.6683925548319
1.57542,0,180,-27.1624476500857
