"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-36.3061990707236
1.57542,0,-170,-25.1717859112198
1.57542,0,-160,-24.3986575347684
1.57542,0,-150,-24.719805243224
1.57542,0,-140,-20.196015709563
1.57542,0,-130,-17.3937504994567
1.57542,0,-120,-16.113469624744
1.57542,0,-110,-15.219729234718
1.57542,0,-100,-14.0577556923058
1.57542,0,-90,-12.4035391670636
1.57542,0,-80,-10.2965785272883
1.57542,0,-70,-7.95106933806197
1.57542,0,-60,-5.68900973594745
1.57542,0,-50,-3.86288923657278
1.57542,0,-40,-2.81133595565591
1.57542,0,-30,-2.88541889962801
1.57542,0,-20,-4.62117765778137
1.57542,0,-10,-9.50859162994578
1.57542,0,0,-26.8699464871811
1.57542,0,10,-9.57475521524793
1.57542,0,20,-4.77035819126317
1.57542,0,30,-3.10740704541188
1.57542,0,40,-3.10742771267961
1.57542,0,50,-4.23781143110373
1.57542,0,60,-6.14048056452165
1.57542,0,70,-8.47006398133453
1.57542,0,80,-10.8818537127468
1.57542,0,90,-13.0747964235076
1.57542,0,100,-14.8473914572019
1.57542,0,110,-16.1355649564863
1.57542,0,120,-17.0823828157915
1.57542,0,130,-18.2239388714649
1.57542,0,140,-20.4583204113939
1.57542,0,150,-23.5838536306802
1.57542,0,160,-24.3169327130497
1.57542,0,170,-27.0411428136761
1.57542,0,180,-36.3061990707236
