"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-30.2927397938817
1.57542,0,-170,-25.224178979403
1.57542,0,-160,-22.0579075702849
1.57542,0,-150,-21.2249740909105
1.57542,0,-140,-18.6926055630563
1.57542,0,-130,-16.4490594298173
1.57542,0,-120,-15.1526482805291
1.57542,0,-110,-14.1343727103868
1.57542,0,-100,-12.89139267655
1.57542,0,-90,-11.2486127334263
1.57542,0,-80,-9.2186549085445
1.57542,0,-70,-6.93846077590685
1.57542,0,-60,-4.64310371208711
1.57542,0,-50,-2.60514559431134
1.57542,0,-40,-1.06775032645068
1.57542,0,-30,-0.210286912684291
1.57542,0,-20,-0.12531958292199
1.57542,0,-10,-0.670992755553053
1.57542,0,0,-1.11728898453202
1.57542,0,10,-0.632418393556477
1.57542,0,20,0.257483015878884
1.57542,0,30,0.636727812655598
1.57542,0,40,0.184357237657583
1.57542,0,50,-1.06033686654386
1.57542,0,60,-2.89941446879721
1.57542,0,70,-5.05554679622665
1.57542,0,80,-7.23707018297677
1.57542,0,90,-9.20209987448841
1.57542,0,100,-10.7985184721999
1.57542,0,110,-11.9739333738641
1.57542,0,120,-12.8184714323658
1.57542,0,130,-13.7282195273518
1.57542,0,140,-15.4996536538341
1.57542,0,150,-18.8475107027606
1.57542,0,160,-22.0457615272973
1.57542,0,170,-23.916483347769
1.57542,0,180,-30.2927397938817
