"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
1.57542,0,-180,-27.4460509099828
1.57542,0,-170,-27.6063505026814
1.57542,0,-160,-30.08542072534
1.57542,0,-150,-29.5674642965089
1.57542,0,-140,-26.6908260333978
1.57542,0,-130,-23.0618765426245
1.57542,0,-120,-20.3022521982333
1.57542,0,-110,-18.4629692695995
1.57542,0,-100,-17.1144057834808
1.57542,0,-90,-16.0473097977226
1.57542,0,-80,-15.3647341949108
1.57542,0,-70,-15.4948650745118
1.57542,0,-60,-17.5187415531221
1.57542,0,-50,-25.4873828170666
1.57542,0,-40,-17.6366745830077
1.57542,0,-30,-9.11103148114236
1.57542,0,-20,-4.52874253074804
1.57542,0,-10,-2.04804132099301
1.57542,0,0,-1.24713436178912
1.57542,0,10,-2.06326843229833
1.57542,0,20,-4.65262179398385
1.57542,0,30,-9.66518114710241
1.57542,0,40,-20.2395039447735
1.57542,0,50,-21.4890117098222
1.57542,0,60,-15.4381539805419
1.57542,0,70,-14.120109293565
1.57542,0,80,-14.4191157864227
1.57542,0,90,-15.4584356111331
1.57542,0,100,-16.8951469966395
1.57542,0,110,-18.704439163966
1.57542,0,120,-21.1623222097256
1.57542,0,130,-24.3593423694452
1.57542,0,140,-25.5945723079696
1.57542,0,150,-24.5876410739311
1.57542,0,160,-26.2474250391866
1.57542,0,170,-29.747843814697
1.57542,0,180,-27.4460509099828
